매장명,주소,위도,경도
울산삼산공구월드점,울산 남구 정동로 15-1 (삼산동) 하삼동커피,35.5353440243003,129.343637707704
부산일광해수욕장점,"부산 기장군 일광읍 일광로 80 (삼성리, 해연반점) 하삼동커피",35.2633701467047,129.232856620827
창원동전산단점,경남 창원시 의창구 북면 동전리 713-5 하삼동커피,35.3159953892141,128.603411721189
부산반룡산단점,부산 기장군 장안읍 반룡리 906-3 하삼동커피,35.3297576762322,129.255604743809
대구서구청점,대구 서구 평리동 1087-31 1층 하삼동커피,35.8729601218159,128.557749306824
부산해운대아이파크점,"부산 해운대구 마린시티2로 38 (우동, 해운대아이파크) C1동 117호",35.157037795554,129.143328681551
목포하당현대점,전남 목포시 비파로 31 (상동) 1층 하삼동커피,34.8015644559949,126.427468185522
김해뜨란채사거리점,경남 김해시 함박로 55 (외동) 1층 하삼동커피,35.2330334398714,128.860245075699
양산물금역점,경남 양산시 물금읍 물금로 16 (물금리) 1층 하삼동커피,35.3077629431629,128.987767791734
대구안지랑역점,대구 남구 대명로 128 (대명동) 1층 하삼동커피,35.8391472400317,128.571576777049
부산다대푸르지오점,부산 사하구 윤공단로 136-1 (다대동) 1층 하삼동커피,35.0611503480718,128.973309844279
대구교동점,대구 중구 동성로 58 (동성로2가) 1층 하삼동커피,35.8719266175261,128.595862794263
경남밀양내이동점,경남 밀양시 백민로 60-1 (내이동) 1층 하삼동커피,35.4980416237443,128.747070830853
경남거제대교점,경남 거제시 사등면 거제남서로 5344 (덕호리) 1층 하삼동커피,34.8830133012054,128.478369351371
서울도곡점,서울 강남구 도곡동 518-10 1층,37.4824241958937,127.043039286912
남양주오남역점,경기 남양주시 오남읍 양지리 667 106호,37.7028182310995,127.192909030222
대구성서공단점,대구 달서구 성서공단로 69 (호림동) 1층 하삼동커피,35.8352093038002,128.490130036579
경주충효그린점,경북 경주시 충효녹지길 52 (충효동) 1층 하삼동커피,35.8422133587614,129.185356297767
경기화성비봉점,경기 화성시 비봉면 간곡6길 6-8 (삼화리) 101호,37.2480668609718,126.865307463026
서울성신여대입구역점,"서울 성북구 동소문로 98 (동소문동5가, 메디컬센터빌딩) 1층",37.5922520653915,127.01617250792
