지역,매장명,주소,위도,경도
충청,제천강저점,충청북도 제천시 청풍호로10길 40 (강제동) 1층,37.1207347315035,128.19826969927
경상,김해대로점,경상남도 김해시 김해대로 2447 (삼정동) 투썸플레이스 김해대로점,35.2277877034971,128.894545803165
서울,서여의도점,"서울특별시 영등포구 국회대로70길 15-1 (여의도동,극동브이아이피빌딩) 1층",37.5296625694125,126.920396387403
인천,인천가정루원시티점,"인천광역시 서구 염곡로 468 (가정동,드림타워) 1층",37.5264513444249,126.669728853251
대구,대구연경점,대구광역시 북구 연경동 954-3,35.9429967572226,128.616770949309
서울,삼호가든사거리점,"서울특별시 서초구 서초중앙로 238 (반포동,삼호가든쇼핑센타) 가든리체프라자 2층 251호",37.5029619493601,127.012070984447
서울,상일동역점,"서울특별시 강동구 고덕로 390 (상일동,고덕아르테온아파트(상가1동)) 202호,203호",37.5566264093618,127.168780176356
서울,가양역점,"서울특별시 강서구 양천로 504 (등촌동,명문빌딩) 1층",37.5603846515059,126.855983323007
전라,전주진북점,전라북도 전주시 덕진구 전주천동로 342 (진북동) 1층,35.824911758666,127.13240124439
대구,대구동성로스파크점,대구광역시 중구 동성로6길 61 (공평동) 1층,35.8687083802364,128.598741541322
충청,영동군청점,"충청북도 영동군 영동읍 동정로 30 (동정리,골든렉시움오피스텔) 1층",36.1741194370872,127.784877000347
강원,동해북삼점,"강원도 동해시 청운2길 42 (쇄운동,태화빌딩) 1층",37.4843404915219,129.107434536648
서울,송파위례트랜짓몰점,"서울특별시 송파구 위례광장로 170 (장지동,힐스테이트송파위례) 1층",37.4798960212267,127.142324795699
서울,강변역점,서울특별시 광진구 구의강변로 53 (구의동) 옥산빌딩1층,37.5357339548426,127.09190028149
대구,대구수목원점,"대구광역시 달서구 상화로 38 (대곡동) 2,3층",35.8081139082904,128.517964987205
인천,인천산곡점,"인천광역시 부평구 원적로 392 (산곡동,백마타운) 1층",37.5036893838285,126.709983213173
경기,야탑역점,"경기도 성남시 분당구 성남대로916번길 5 (야탑동,관보골든쇼핑스포츠빌딩)2층201호",37.411549013258,127.129865061381
경기,오이도씨하이호텔점,"경기도 시흥시 오이도로135번길 72 (정왕동,오이도서종호텔) 오이도씨하이호텔 2층",37.3421881148001,126.686854120651
충청,소노벨천안점,"충청남도 천안시 동남구 성남면 종합휴양지로 200 (용원리,대명리조트) .",36.742472889831,127.236938249311
충청,청주분평대로점,충청북도 청주시 서원구 1순환로 1142 (분평동) 투썸플레이스,36.6057871091988,127.493452174314
충청,청주공항로점,충청북도 청주시 청원구 공항로 237 (사천동) 투썸플레이스,36.6781019554922,127.482938373465
서울,송파나루역점,"서울특별시 송파구 오금로 154 (송파동,한라빌딩) 1층",37.5102165092467,127.111736104534
경기,행신역점,경기도 고양시 덕양구 충장로 6 (행신동) 102호 201호 202호,37.6401661488778,126.838515945022
서울,광흥창역점,"서울특별시 마포구 독막로 145 (창전동,서강쌍용예가) 1F(105-106호),2F(20",37.5490268728869,126.929490110223
서울,을지로입구역점,"서울특별시 중구 남대문로 92 (을지로2가,한국전력공사) 1층",37.5652759693568,126.983371630917
서울,암사역점,"서울특별시 강동구 올림픽로 778 (암사동) 1,2층",37.5503999624409,127.127916738477
대구,북대구IC주유소DT점,대구광역시 북구 동북로 113 (산격동) 1층,35.9022887605515,128.606355525943
경기,남양주장현점,경기도 남양주시 진접읍 금강로1573번길 6 (장현리) 1층,37.7319922420051,127.194273612295
울산,울산성남점,울산광역시 중구 만남의거리 15,35.5543097302118,129.320799616168
경기,수원나혜석거리점,"경기도 수원시 팔달구 인계로166번길 48-15 (인계동,영성빌딩) 1F 투썸플레이스 수원나혜석거리점",37.2643097973442,127.033972725876
서울,문정KD70점,"서울특별시 송파구 정의로8길 4 (문정동,KDG70) 1층",37.4856990154607,127.115708745088
충청,천안불당점,충청남도 천안시 서북구 불당4로 111 (불당동) 1층,36.8117042071076,127.11144998783
서울,서초역점,"서울특별시 서초구 서초대로 254 (서초동,오퓨런스) 102",37.4920207116979,127.009620980568
경기,광교상현역점,경기도 용인시 수지구 광교중앙로 310 (상현동) 1층,37.2976688981892,127.069745054871
경기,고양삼송신원점,경기도 고양시 덕양구 권율대로 896-7 (신원동) 1층,37.6631261087747,126.89107115533
서울,강남역삼로점,서울특별시 강남구 역삼로 118 (역삼동) 1층,37.4934315723756,127.032179999229
경기,광주태전점,"경기도 광주시 태전중앙로 20 (태전동,스카이가든) 지하1층",37.3815817522839,127.230382648659
경기,양평오빈점,경기도 양평군 양평읍 경강로 1663 (오빈리) 2~3층,37.4836305851479,127.561615303178
경기,분당효자촌점,"경기도 성남시 분당구 돌마로 482 (서현동,주영빌딩) 1F",37.3813860209177,127.137939359912
서울,내방역점,"서울특별시 서초구 서초대로 99 (방배동) 투썸플레이스 1,2층",37.4878214811316,126.9930268954
부산,부산법조타운점,"부산광역시 연제구 법원남로15번길 17 (거제동,대원빌딩) 1층 투썸플레이스",35.1900569978402,129.0737308819
경기,안산호수마을점,"경기도 안산시 단원구 광덕1로 64 (초지동,현대프라자) 202호, 203호",37.308137775304,126.816668658088
경상,마산삼계점,경상남도 창원시 마산회원구 내서읍 경남대로 909 (삼계리) 1층,35.2312107235438,128.504826218995
