지역,매장명,주소,위도,경도
경기,산본학원가점,경기도 군포시 산본로 394 대림프라자 106호,37.365130721251,126.929726104547
경기,일산백마점,"경기도 고양시 일산동구 일산로208, 한일파킹타운 103호",37.6549545729682,126.790176142798
서울,돈암아리랑점,서울특별시 성북구 아리랑로 75,37.598830255568,127.013625487132
대구,대구만촌점,"대구광역시 수성구 교학로 58, 1층 (만촌동)",35.8500306545218,128.651786867101
대구,대구범어KBS점,"대구광역시 수성구 범어로 73 (범어동, 범어에스케이뷰 아파트 2단지)",35.8556509444592,128.634428609543
인천,인천학익점,"인천광역시 미추홀구 매소홀로 355, 학익프라자 106호",37.4414509031689,126.661976343924
경상,구미확장단지점,"경상북도 구미시 산동면 신당1로2길 13, 110호 (신당리 1433)",36.1552818292605,128.431717958163
경기,부천강남시장점,경기도 부천시 옥산로 155 (도당동 283-18),37.507524727243,126.780092153286
대구,대구서부정류장역점,대구광역시 달서구 구마로 264 (송현동),35.837251019643,128.556743984366
경기,파주야당역점,경기도 파주시 경의로 1074,37.7131570773604,126.759892016322
세종,세종대평점,"세종특별자치시 한누리대로 2236, A 140호",36.4740926965855,127.27722016795
서울,암사역점,서울특별시 강동구 올림픽로 770,37.5497854908523,127.127658691274
충청,청주지웰시티점,충청북도 청주시 흥덕구 대농로 39(청주 솔밭초등학교 앞),36.6423374175194,127.426913157763
경상,경남창녕점,"경상남도 창녕군 창녕읍 군청길 23 (술정리), 1층",35.541899881744,128.492582523146
충청,천안성성점,"충청남도 천안시 서북구 성성8로 2-34, 우리타워 101호",36.8402063573572,127.129747418686
서울,강변역점,서울특별시 광진구 강변역로4길 10,37.5353492183772,127.093405063055
인천,인천청라커낼점,인천광역시 서구 청라커낼로 260번길 15,37.5320815161202,126.646366020693
충청,서원대점,충청북도 청주시 서원구 서원남로 50-5 (서원대 후문),36.6225913706079,127.482480633576
전남,순천오천점,"전남 순천시 오천6길 16, 104호",34.9340210598331,127.494383214305
경기,망월사역점,"경기도 의정부시 호원동 459, 신일엘리시움 1층 108호",37.7094367169925,127.048399325551
경기,다산중앙점,"경기도 남양주시 다산중앙로123번길 9, 로데오프라자 102호",37.6237024658783,127.152464010121
전라,김제터미널점,"전라북도 김제시 동서로 232, 1층 101호(요촌동)",35.8024687707434,126.892977517972
경기,미사강변점,"경기도 하남시 미사강변대로226번길 14, 에스프라자 미사 1층",37.5696931242599,127.184709447519
대전,대전죽동점,"대전광역시 유성구 죽동로 295, 101호",36.3696442747603,127.33808396592
경기,시흥은행점,"경기도 시흥시 은행로 155번길 5, 1층 103호",37.4445113015081,126.798920304709
전라,전주하가점,"전라북도 전주시 덕진구 가련사로 7, 102호 (덕진동2가)",35.8294,127.1342
서울,동대문역점,"서울특별시 종로구 종로 289, 1층(창신동)",37.5717545176917,127.009969690098
경상,사천정동점,경상남도 사천시 정동면 진삼로 1394-1,35.0760607547761,128.084443490326
경기,시흥은계점,"경기도 시흥시 은계남로 12, 호반써밋상가 148호",37.4359106707232,126.801960228111
서울,연신내사거리점,서울특별시 은평구 통일로 840,37.618393113117,126.922102176038
서울,월곡래미안점,"서울 성북구 오패산로 98 ,1층 빽다방",37.6108634286384,127.035639686915
경기,수원SKV1점,"경기도 수원시 권선구 평동로79번길 45, 112호 (평동, 수원SKV1 모터스 건물 1층)",37.2598766368604,126.992777412725
경기,백석역점,"경기도 고양시 일산동구 일산로 46, 1층 107호 (백석동, 남정씨티프라자)",37.6423554662304,126.787882489759
