철도운영기관명,선명,역명,도로명주소,위도,경도
코레일,경의중앙,옥수,서울특별시 성동구 동호로21,37.5409877747326,127.018965435917
코레일,경의중앙,왕십리,서울특별시 성동구 왕십리광장로 17,37.5614417528647,127.038394194396
코레일,경의중앙,용문,경기도 양평군 용문면 용문역길 21,37.4824501184991,127.594500851742
코레일,경의중앙,용산,서울특별시 용산구 한강대로 23길 55,37.5297718014452,126.964741503485
코레일,경의중앙,운길산,경기도 남양주시 조안면 운길산로 20,37.5548032008651,127.309850206074
코레일,경의중앙,운정,경기도 파주시 운정역길 368,37.7254011523901,126.767156103712
코레일,경의중앙,원덕(추읍산),경기도 양평군 양평읍 원덕흑천길 138,37.4684651265171,127.547064379874
코레일,경의중앙,월롱(서영대학교),경기도 파주시 월롱면 통일로 980,37.7961431510064,126.792204696676
코레일,경의중앙,응봉,서울특별시 성동구 고산자로 124,37.5504482266748,127.034927944532
코레일,경의중앙,이촌,서울특별시 용산구 이촌로71길 42,37.5222293914391,126.973595696064
코레일,경의중앙,일산,경기도 고양시 일산서구 경의로 672,37.6821407179955,126.769478094594
코레일,경의중앙,중랑,서울특별시 중랑구 중랑역로3길 28,37.5950189743222,127.074891341427
코레일,경의중앙,지평,경기도 양평군 지평면 지평역길32,37.4763755008819,127.630041823792
코레일,경의중앙,청량리,서울특별시 동대문구 왕산로 214 청량리역,37.584197400389,127.05114503929
코레일,경의중앙,탄현,경기도 고양시 일산서구 경의로 856,37.6940200926525,126.761021130787
코레일,경의중앙,파주(두원대학),경기도 파주시 파주읍 주라위길 38,37.8151635252393,126.792604079404
코레일,경의중앙,팔당,경기도 남양주시 와부읍 팔당로 107,37.546890022725,127.243831432648
코레일,경의중앙,풍산,경기도 고양시 일산동구 경의로 486,37.6723127365476,126.786451209886
코레일,경의중앙,한남,서울특별시 용산구 독서당로6길 12-13,37.5291881521046,127.008249820572
코레일,경의중앙,행신,경기도 고양시 덕양구 소원로 102,37.6121307475096,126.834189041595
코레일,경의중앙,홍대입구,서울특별시 마포구 양화로 지하188,37.5574452272604,126.926778735002
코레일,경의중앙,한국항공대,경기도 고양시 덕양구 화랑로 53,37.6033139647057,126.868385382583
코레일,경의중앙,회기,서울특별시 동대문구 회기로 196,37.5897534990469,127.058075963059
코레일,경의중앙,효창공원앞,서울특별시 용산구 원효로 71길 40,37.53962234231,126.960983585874
코레일,경의중앙,도라산,경기도 파주시 장단면 희망로 307(노상리),37.8988518411828,126.709629531242
코레일,경의중앙,임진강,경기도 파주시 문산읍 임진각로 115번길,37.8885657915464,126.746995041436
코레일,경의중앙,운천,경기 파주시 문산읍 통일로2033번길 3,37.8799939467653,126.769972094965
코레일,경강,경기광주,경기도 광주시 광주역로 10(역동),37.3989035705428,127.253267286176
코레일,경강,곤지암,경기도 광주시 곤지암천로 333,37.3505527470996,127.346172963513
코레일,경강,부발,경기도 이천시 부발읍 신아로 87,37.2598547047189,127.490363784678
코레일,경강,삼동,경기도 광주시 순암로 451,37.4086317062163,127.203328416895
코레일,경강,세종대왕릉,경기도 여주시 능서면 양화로 877,37.2939375637031,127.570727128078
코레일,경강,신둔도예촌,경기도 이천시 신둔면 남정로 55,37.3155669010162,127.405242869086
코레일,경강,여주,경기도 여주시 교동로 80(교동 403-1),37.2824737567131,127.628678411071
코레일,경강,이매,경기도 성남시 분당구 성남대로 738,37.3956853431968,127.12824815972
코레일,경강,이천,경기도 이천시 이섭대천로 1063,37.2645759954677,127.442360451221
코레일,경강,초월,경기도 광주시 초월읍 경충대로 1066,37.3733548531211,127.299991606989
코레일,경강,판교(판교테크노밸리),경기도 성남시 분당구 판교역로 160,37.3947948422615,127.110989722725
코레일,경강,성남,경기도 성남시 분당구 백현동 545-1,37.3947290556795,127.119418020789
코레일,동해,거제(법원.검찰청),부산광역시 연제구 법원남로9번길 17,35.1895110545428,129.074289798203
코레일,동해,거제해맞이,부산광역시 연제구 거제대로 123,35.1811704174524,129.068996371984
코레일,동해,교대,부산광역시 연제구 중앙대로 1196,35.1937054345333,129.079476548959
코레일,동해,기장,부산광역시 기장군 기장읍 차성로288번길 86,35.243815709882,129.218740173832
코레일,동해,동래,부산광역시 동래구 낙민로 27,35.1972422759176,129.091105219599
코레일,동해,벡스코,부산광역시 해운대구 해운대로 351,35.1715544460081,129.136096935843
코레일,동해,부전,부산광역시 부산진구 부전로 181,35.1640421327974,129.060506292678
코레일,동해,센텀,부산광역시 해운대구 해운대로 210,35.1794753973039,129.124554780419
코레일,동해,송정,부산광역시 해운대구 해운대로 1147,35.1875941499362,129.202458012372
코레일,동해,신해운대,부산광역시 해운대구 장산로 427,35.1816946779862,129.177032074409
코레일,동해,안락,부산광역시 동래구 안연로98번길 57,35.1960206246922,129.100549414816
코레일,동해,오시리아,부산광역시 기장군 기장읍 동부산관광5로 14,35.1962172977472,129.208261122077
코레일,동해,일광,부산광역시 기장군 일광읍 일광로 111-10,35.2674453139922,129.233116919565
