매점명,지역,주소,위도,경도
판교대장점,,경기도 성남시 분당구 판교대장로 7길 10,37.3711239264326,127.068688895756
가산YPP사옥점,,서울시 금천구 가산동 327-30,37.4708748694891,126.883805969109
전북대학교병원,전라북도,전라북도 전주시 덕진구 건지로20 전북대학교병원본관 B1,35.8479659003147,127.141059767822
여수웅천해변공원점,전라남도,"전라남도 여수시 웅천남6로11 (1,2층)",34.7391757762212,127.677173109141
명일역점,,서울시 강동구 천호동 24-2 (천호동 숨결타워)B1층~1층,37.5505685861734,127.143477564123
논공휴게소(대구)점,대구,"대구광역시 달성군 논공읍 광주대구고속도로 170, 휴게소 1층, 논공휴게소 대구방향",35.7645733994975,128.402763909428
논공휴게소(광주)점,대구,"대구광역시 달성군 논공읍 광주대구고속도로 169, 휴게소 1층, 논공휴게소 광주방향",35.7672966339971,128.403185255027
영풍문고종각종로본점,서울,"서울시 종로구 청계천로 41, B2층(서린동, 영풍빌딩)",37.5696679696981,126.982179278549
남한강휴게소점,경기도,경기도 양평군 강상면 중부내륙고속도로 298,37.4833196183715,127.467742642194
부산연산점,부산,"부산광역시 연지구 반송로 40, e편한세상 연산더퍼스트 102동 1층 101-102호",,
대전신탄진DT점,대전,대전광역시 대덕구 신탄진로 504,36.4238505684394,127.419940516746
속초중앙시장,강원도,강원도 속초시 중앙시장로87,38.2054312700232,128.590055011801
인천공항T2라운지동편점,인천,인천시 중구 제2터미널대로 446 인천공항 제2여객터미널 면세구역 동편,37.4692488244219,126.43320918812
기흥휴게소1호,경기도,경기 용인시 기흥구 공세로 173 기흥휴게소 내,37.2363767227901,127.104316216447
기흥휴게소2호,경기,경기 용인시 기흥구 공세로 173 기흥휴게소 내,37.2363767227901,127.104316216447
대전방동호수공원DI,대전,"대전광역시 유성구 성북로 84, 지상 2,3층(방동)",36.2893382362105,127.304638448452
충주휴게소(창원),충청북도,충북 충주시 중앙탑면 중부내륙고속도로 231,37.0223865504742,127.836955307243
공주휴게소(대전방향),충청남도,충남 공주시 당진영덕고속도로 72,36.4968652503451,127.166904312404
공주휴게소(당진방향),충청남도,충남 공주시 의당면 당진영덕고속도로 71,36.498467362766,127.165065753526
망향휴게소,충청남도,충남 천안시 서북구 성거읍 돌다리길 23-37,36.8560259693033,127.181213326292
외동휴게소 포항방향,경상북도,경북 경주시 외동읍 상석길 58-7,35.6648468776776,129.287771099381
충남금산점,충청남도,충남 금산군 금산읍 비단로 404,36.1067862090824,127.482232221445
서초악기거리점,서울,서울 서초구 남부순환로317길 79,37.4831336518092,127.010301391873
부산명지DI점,부산,"부산광역시 강서구 르노삼성대로 638-10 1,2층(명지동)",35.1045577312644,128.930254831352
변산해수욕장,전라북도,전라북도 부안군 변산면 변산대로 2120-22,35.64531,126.52328
서대구센트럴자이점,대구,"대구 서구 고성로 33, 405동 1층 114호",35.8863333474995,128.572536025451
익산모현점,전라북도,전북 익산시 모현동1가 836번지 1층,35.9521453709644,126.939188722811
센트로양재,서울,"서울 서초구 강남대로241 1,2층",,
여수선소대교점,전라남도,"전라남도 여수시 소호1길38 106,107",,
파주운정점,경기도,"경기도 파주시 목동동 937-2 , 명품프라자 2, 206호",37.729052875609,126.734706180292
마포광흥창점,서울,"서울시 마포구 토정로 195, 지하1층, 지상1층",37.5455538746201,126.932718282092
정읍수성점,전라북도,전라북도 정읍시 수성동 1023-6번지,35.5843826087866,126.859381811579
경상국립대병원점,경상남도,"경상남도 진주시 강남로 79, 경상대학교병원 행정동 1층 일부 (칠암동)",35.1759944007332,128.096492410171
이천송정DI점,경기도,경기도 이천시 증신로 342-31 1층( 송정동),37.3007600284902,127.439863642354
라페스타점,경기도,"경기도 고양시 일산동구 중앙로1275번길 60-14, 고일프라자 1층",37.6595458833417,126.769654734302
제주대병원점,제주도,제주시 아란13길 15 1층,33.4672085209581,126.545201028535
국방부 본관점,서울,서울시 용산구 이태원로22 국방부 본관 10층,,
충주휴게소(양평),충청북도,충청북도 충주시 중앙탑면 중부내륙고속도로 230,37.0232168619885,127.839469381914
부산해운대장산역점,부산,"부산광역시 해운대구 해운대로 793 (좌동, 해운대자생한방병원)1층 102호",35.1696667576765,129.175262014451
양주옥정점,경기,경기도 양주시 회천로 84,37.8278019018615,127.092503245435
송천파인트리몰점,전라북도,"전라북도 전주시 덕진구 송천중앙로 225, 송천파인트리몰 1층",35.8670585837453,127.120917621401
안양명학점,경기도,경기도 안양시 만안구 안양로 104 웨딩그룹위더스 1층,37.3845078922259,126.933939661976
구미산동DI점,경상북도,"경상북도 구미시 산동읍 강동로 995, 1층 1동 1호",36.1677081712003,128.438060370594
화성향남점,경기도,"경기도 화성시 향남읍 발안로 68, 1층",37.1314573286388,126.917603786336
대전반석점,대전,대전 유성구 반석동로40번길 40 지상 1층,36.3912522027097,127.31425953911
구미역점,경상북도,"경상북도 구미시 구미중앙로 13길 6 1,2층",36.1306118985563,128.333191218046
김포공항국제선점,서울,서울특별시 강서구 하늘길 38 3층,37.5713695798026,126.802960133589
의정부고산지구점,경기도,경기도 의정부시 세석로 24,37.7296549826,127.109490069237
오창휴게소(상),,충청북도 청주시 청원구 오창읍 중부고속도로 20,36.7566488392427,127.481979054146
문정르피에드점,서울,서울시 송파구 송파대로 141 르피에드,37.4827982488674,127.123339910507
김포우리병원1층점,경기도,"경기도 김포시 감암로11, 김포우리병원 신관동 1층",37.6329981082051,126.710556772373
거제디큐브백화점,경상남도,"경상남도 거제시 장평로 12 (장평동, 디큐브백화점)",34.8910558081136,128.616402009975
익산약촌오거리점,전라북도,전라북도 익산시 약촌로162,35.9481078153801,126.97500607407
대구침산중앙DI점,대구,대구시 북구 침산동 105-21,35.8840999960581,128.597540935373
보령그랜드베이호텔점,충청남도,충청남도 보령시 터미널길 24-8,36.3435127444629,126.589162343433
화성와우점,경기도,경기도 화성시 봉담읍 와우로 23-31,37.2148548871547,126.973354392351
성주별고을체육공원점,경상북도,경북 성주군 성주읍 대황길 20,35.9133543472852,128.261436434323
포항에스병원점,경상북도,"경상북도 포항시 남구 희망대로 352, 지하1층 (포항에스병원)",36.0348244802874,129.331402298585
홍천갈마DI,강원도,강원도 홍천군 홍천읍 갈마로58,37.6946072870397,127.90255998008
송산포도휴게소점,경기도,경기도 화성시 송산면 평택시흥고속도로25,37.2368577299461,126.756662553529
군산휴게소(서울방향)점,전라북도,전라북도 군산시 나포면 서해안고속도로 148,36.0182567585663,126.797846220477
창원팔용점,경상남도,경상남도 창원시 의창구 팔용로 419,35.2544309379752,128.611899520921
소마미술관점,서울,"서울시 송파구 위례성대로 51, 2층(서울올림픽미술관)",37.516920655117,127.118166964751
대구신남네거리점,대구,"대구광역시 중구 달구벌대로 1999, 척탑병원 1층",35.865456902865,128.582701809564
세종청사중앙동점,세종시특별자치시,"세종특별자치시 도움6로 42, 민원동-2동 1층",36.5016810243531,127.264420987443
대전중앙로점,대전,"대전광역시 중구 중앙로 126, 1층 (대흥동)",36.327645144192,127.424113850923
세종다정중앙점,세종시특별자치시,세종특별시 다정중앙로 46,36.4944826637341,127.249318899356
군산디오션시티점,전라북도,전북 군산시 조촌동 2-70,35.9732888,126.7403011
홈플러스아시아드점,부산,부산 연제구 거제동 1208 홈플러스,35.1909050227428,129.061419257391
첨단종합병원점,광주,광주광역시 광산구 쌍암동 674-1,35.2203150960353,126.846407924371
대청댐 DI,충청북도,충청북도 청주시 서원구 현도면 대청호반로4,36.4757402918076,127.470949244078
구미인동점,경상북도,경북 구미시 진평동 61-1,36.0959072357611,128.429035969288
구미선산DI점,경상북도,경북 구미시 선산읍 완전리6-1번지 외 9필지,36.2423349099842,128.301115052627
부산비즈니스호텔,부산,부산광역시 부산진구 부전동 512-4,35.1561122699992,129.054528292776
여주휴게소(인천방향),경기도,경기도 여주시 가남읍 본두리 870-1,37.2399065450504,127.569914900691
대구월촌역점,대구,"대구광역시 달서구 송현로 38 1,2층",35.8223722656623,128.547987821718
에스프레소바 해운대엘시티점,부산,"부산광역시 해운대구 달맞이길 30 (중동, 엘시티)1030,1031호",35.1613327099223,129.168013841974
속초엑스포(베룸빡),강원도,강원도 속초시 청초호반로 56,38.1903654947826,128.588596225028
평내호평역,경기도,경기도 남양주시 호평동 632-15,37.6539483819878,127.241200015287
포천송우DI점,경기도,경기 포천시 소흘읍 송우로 101-11,37.8306187314567,127.138609444021
충북옥천,충청북도,충북 옥천군 옥천읍 금구리42-18,36.2982909771257,127.573348444882
인천테크노밸리점,인천,"인천광역시 부평구 주부토로 236, 인천 테크노밸리 u1센터 A동 1층 104호 외",37.5158580433375,126.726800852864
벌곡휴게소 논산방향,충청남도,충남 논산시 벌곡면 신양리475,36.2182810930872,127.273636449554
언양휴게소 서울방향,울산,울산광역시 울주군 언양읍 반곡리898-9,35.5982293965083,129.14181277976
강릉유천점,강원도,강원도 강릉시 선수촌로 64-4 1층(유천스파 1층),37.7563397807886,128.871182893357
양천목동점,서울,서울시 양천구 목동 42-107,37.5427715223083,126.869732619599
센트로서울,서울,서울시 중구 한강대로 416 서울스퀘어 1층,37.555503632236,126.973751343837
공주상왕,충청남도,충청남도 공주시 창벽로 416,36.4452667724384,127.179359780677
이화사거리,서울,서울특별시 종로구 대학로 47 1층,37.5754639597614,127.0018417101
경기광주휴게소 원주방향,경기도,경기 광주시 곤지암읍 만삼로 270,37.3784899718403,127.436338503175
센트로천안점,충청남도,"충남 천안시 서북구 성성4길 68 1층, 2층",36.8457881208372,127.135601373417
부산경성대,부산,부산 남구 대연동 73-35,35.1377310292967,129.100369785761
김포풍무역,경기도,"경기도 김포시 유현로 232 에버리치빌딩 1,2층",37.6111768897317,126.73112226665
고양원흥,경기도,"경기도 고양시 덕양구 권율대로 504 가림타워오피스텔 101,102호",37.6356955825336,126.869726346518
청담역점,서울,"서울시 강남구 영동대로 646, 1층",37.5196629414152,127.057829519776
영산휴게소,경상남도,경남 창녕군 영산면 장척호수길 56-110,35.4286587768169,128.495680970332
경북왜관점,경상북도,경북 칠곡군 왜관읍 중앙로 98 1층,35.9835696055669,128.398951262627
삼국유사휴게소,경상북도,경북 군위군 부계면 치산효령로 989-23,36.0799507570031,128.696146727823
대구장기DI점,대구,대구광역시 달서구 장기동 557-1,35.8431865157457,128.530925048672
군위영천휴게소,경상북도,경북 군위군 산성면 백학리 90,36.0711200427926,128.708181937704
공릉역점,서울,서울 노원구 공릉동 398-4,37.6252057310785,127.072554311907
청주엘지로DT,충청북도,"충정북도 청주시 흥덕구 엘지로11, 1,2층(외북동)",,
광주용전DT,광주,"광주광역시 북구 우치로 948 1,2,3층(용전동)",35.2445952686371,126.886259853869
부산하단오거리점,부산,"부산광역시 사하구 낙동대로 458, 1,2층",35.1058639975939,128.969036484843
안산휴게소 인천방향,경기도,경기도 안산시 단원구 선부동 273~ 280,37.3341794459408,126.804370669728
안산휴게소 강릉방향,경기도,경기도 안산시 단원구 선부동 273~ 280,37.3341794459408,126.804370669728
안산휴게소 강릉DT점,경기도,경기도 안산시 단원구 선부동 273~ 280,37.3341794459408,126.804370669728
충남부여,충청남도,충남 부여군 부여읍 사비로 108번길 4,36.2821654243749,126.910739717102
대구K병원,대구,"대구광역시 북구 칠곡중앙대로 357, 1층(태전동)",35.9276866910919,128.547109190163
왕십리역사점,서울,서울특별시 성동구 왕십리광장로 17. 왕십리민자역사 4층,37.5614417528647,127.038394194396
울산중앙병원,울산,울산 남구 문수로 472,35.5322336708212,129.304647337193
부산범일점,부산,부산광역시 동구 조방로 45 1층 (덕원빌딩),35.1404968198363,129.060273359158
김포운양 DI,경기도,경기 김포시 모담공원로167번길 109,37.6470352189303,126.698574202471
하남감일DI점,경기도,경기도 하남시 동남로 451(감일동),37.5151489492249,127.142627103086
전주효자DT점,전라북도,전북 전주시 완산구 효자동2가 760-5번지,35.8016509482634,127.096499968907
전주만성법조타운,전라북도,전라북도 전주시 덕진구 만성중앙로 17,35.8443440797517,127.07373068137
소노벨변산,,전라북도 부안군 변산면 변산해변로 51,35.6479917471495,126.486029432788
인천공항LS 2호점,인천,인천시 중구 공항로 271 인천공항 제1여객터미널 3층 일반구역,37.4476109663729,126.452346738588
양평휴게소 서울방향,경기도,경기 양평군 양동면 여양3로 384-27,37.3986742104886,127.723560787289
서대문역점,서울,서울시 서대문구 충정로 60 KT&G 빌딩 1층,37.5638625904566,126.966154870127
경기광주휴게소 서울방향,경기도,경기 광주시 곤지암읍 유사리 산 31-1,37.3729309645344,127.413799455974
대전문지,대전,대전시 유성구 문지동 652-4,36.3937599934014,127.406143275542
서청주DT,충청북도,충북 청주시 흥덕구 2순환로 1067-2,36.6394766024376,127.422921004388
동천동강병원,울산,울산 중구 외솔큰길 215 (지번) 남외동 514-1,35.5685477528402,129.350477263454
예산휴게소(대전방향),충청남도,충남 예산군 신양면 당진영덕고속도로,36.6676791413448,126.789333389529
칠곡휴게소 서울방향,경상북도,경상북도 칠곡군 왜관읍 경부고속도로 158,36.0134501186494,128.430589151031
칠곡휴게소 부산방향,경상북도,경상북도 칠곡군 왜관읍 경부고속도로 159,36.0194908650646,128.427759917503
전주삼천점,전라북도,전라북도 전주시 완산구 용리로 54,35.7983806817813,127.115734186586
죽전휴게소 서울방향,경기도,경기도 용인시 수지구 경부고속도로 400,37.3324299682977,127.104823956442
청주하나로,충청북도,충북 청주시 상당구 무농정로32,36.6048173494679,127.507391938401
남대전DT,대전,대전 동구 대성동 275-1,36.2911587784729,127.462527522403
영등포병원점,서울,서울 영등포구 당산로 31길 10,37.526858089517,126.89561402986
영종하늘도시점,인천,인천 중구 하늘별빛로 65번길 8-21,37.4899652995834,126.561672602647
파주야당,경기도,"경기도 파주시 야당동 1050-1, 이든시티오피스텔 1층",37.7093712792525,126.759315196661
화성반월DI점,경기도,경기도 화성시 반월동 311-75  1층,37.2302230692782,127.046516447142
경산중방DI점,경상북도,"경상북도 경산시 중방동 909 1,2층",35.8336074910003,128.738679726714
평택세교DT점,경기도,경기도 평택시 세교동 436-1,37.0097379297026,127.074587367067
함안휴게소(순천),경상남도,경남 함안군 군북면 현포로 205-1,35.2937997061427,128.343834952504
부산사직,부산,"부산광역시 동래구 아시아드대로 141, 1층",35.1969553870345,129.065315762548
의왕역,경기도,경기도 의왕시 삼동 208-12,37.3209123803619,126.95431268366
파주문산DI,경기도,"경기도 파주시 문산읍 우계로 424, 101호",37.8567343257426,126.797474754862
세종베스트웨스턴호텔,세종시특별자치시,"세종특별자치시 도움1로 7, 1층 111~116호(어진동540)",36.5003011,127.258736
창녕점,경상남도,경남 창녕군 창녕읍 화왕산로 134,35.5338871264704,128.506054242543
제주한라대,제주도,"제주특별자치도 제주시 고사마루길 2, 1층",33.4802908734374,126.472234040441
용산삼각지점,서울,"서울 용산구 한강로2가 426 용산트리스퀘어 101동 104호, 105호(용산구 백범로 99길 40)",37.5354709368249,126.971544494638
대구가톨릭대로DI점,대구,대구 남구 두류공원로 64,35.8431505923319,128.571453336769
대전원내,대전,대전 유성구 진잠로92번길 85,36.3006661647813,127.320451483116
울산남구청점,,울산광역시 남구 왕생로 146(달동),35.5461987501305,129.328405076874
한마음국제의료원점,경상남도,"경상남도 창원시 의창구 용동로 57번길 8, 1층",35.2379627398324,128.698677096204
원주터미널점,강원도,"강원도 원주시 서원대로 165-1, 1층(단계동)",37.3446573638576,127.929967432849
용인휴게소 상행점(인천방향),경기도,경기도 용인시 처인구 고림동 81-2(주북로 94번길 66-14),37.248556848521,127.238031024061
용인휴게소 하행점(강릉방향),경기도,경기도 용인시 처인구 고림동 12-6(주북로 94번길 30-1),37.2454701551681,127.242335886614
북대전점,대전,"대전 유성구 대덕대로 1097 (송강동 141-2, 1,2층)",36.4251214668938,127.383966049432
광주매곡점,광주,광주광역시 북구 서하로 79,35.1877154276225,126.889059547283
진영(부산) 휴게소,경상남도,경남 김해시 진영읍 하계로 96번길 94-4 진영(부산)휴게소,35.2775553386953,128.717461841396
김천교동DT점,경상북도,"경상북도 김천시 대학로 75, 나동 1-2층(교동)",36.1344360630243,128.095182822977
인천DT점,인천,인천광역시 연수구 옥련동 605-16,37.4314025337366,126.635734487199
대전송촌점,대전,"대전시 대덕구 계족산로 81번길 101, 1층(송촌동)",36.3664911844852,127.436736794033
대전카이스트점,대전,대전 유성구 대학로 291 한국과학기술원 정보전자공학동,36.3683750600837,127.356771410201
마산역DI점,경상남도,"경남 창원시 마산 회원구 3.15대로 703, 1층",35.2354428294847,128.579813137094
광주문흥점,광주,광주광역시 북구 서하로 353-1,35.1869164806068,126.919397873565
신사역점,서울,"서울시 서초구 강남대로 101길 7, 지하1층, 지상1층(잠원동, 루미에르신사)",37.5163735211308,127.018762725461
계양구청점,인천,인천 계양구 계산동 1081-1 삼성프라자 105호,37.535920190463,126.737302639928
평택힐스테이트점,경기도,경기 평택시 세교동 10-1 디오네프라자 1층,37.0061508,127.0834733
김제모다아울렛점,전라북도,전북 김제시 용지면 부교리 44-1번지 전주김제모다아룰렛 2F,35.8167477561889,126.991473227147
대구남산역점,대구,대구시 남구 명덕로 116 1층,35.8561626049536,128.58263788906
부산가덕도점,부산,부산시 강서구 가덕해안로 612,35.0418314477244,128.811073978106
유성온천역점,대전,대전 유성구 계룡로 92 105-2호 106-1호 106-2호 106-3호,36.3534744900415,127.34059446686
안산중앙점,경기도,"경기도 안산시 단원구 고잔로 88 , 지스타 105,106호",37.3187495188622,126.836010693549
경인교대역점,인천,"인천 계양구 계산동 956-25 1,2층",37.5394837392661,126.723110657601
기쁨병원점,서울,"서울시 서초구 서초중앙로 4 ,1층",37.482713030212,127.018063486739
대구라온제나점,대구,"대구광역시 수성구 범어천로 13 1층 102,103호",35.8481294160372,128.623388396751
행담도휴게소,충청남도,충남 당진시 신평면 서해안고속도로 275,36.9451430591607,126.807129050488
청주테크노폴리스,,"충북 청주시 흥덕구 송화로 166번길 20, 1층",36.6653447056932,127.452288565331
트윈시티남산점,서울,서울 용산구 동자동 56 1층,37.5508614716888,126.972783927831
일산DI점,경기도,경기 고양시 일산서구 대화동 2031 선화빌딩,37.6825051947263,126.757586134152
대구반월당제네스점,대구,"대구광역시 중구 중앙대로 312 반월당아너스제네스타워1층,2층",35.8607879511798,128.593031418516
김천휴게소 하행,경상북도,경북 김천시 농소면 경부고속도로 193 김천휴게소(하행),36.1290489052594,128.164870178854
김천휴게소 상행(서울방향),경상북도,경북 김천시 농소면 신촌리 730 김천휴게소 서울방향,36.1306977181897,128.163566514199
충남태안점,충청남도,"충남 태안군 태안읍 중앙로 152, 1층 파스쿠찌 (동문리 259-2)",36.7500640673134,126.304326018778
동해해안도로DI,강원도,"강원도 동해시 해안로 374,1층",37.5354032994849,129.114466913811
김해진영점,경상남도,"경상남도 김해시 진영읍 김해대로361번길 9, 1~2층",35.3091716952152,128.729690183281
대구용산점,대구,대구 달서구 용산동 930-4,35.8583194523549,128.530342610837
강남고속터미널점,,"서울시 서초구 신반포로 194, 본관 1층 22호(반포동)",37.5064357442307,127.006834366246
광명철산점,경기도,경기도 광명시 철산동 437번지,37.4756034865928,126.870159056764
계룡DT점,충청남도,충남 계룡시 엄사면 엄사리 32-2,36.2842805808219,127.248278522962
수원권선DT점,경기도,"경기도 수원시 권선구 서수원로 245,1층(오목천동)",37.2486955181983,126.966625239344
평택험프리스점,경기도,"경기 평택시 팽성읍 안정1리 32-2 캐피토리움 103-104, 202-203호",36.9612668,127.04395
대구태평메가타워점,대구,"대구광역시 중구 태평로 114(태평로3가, 메가타워)",35.8756241677099,128.590204985966
나주빛가람종합병원점,전라남도,전라남도 나주시 빛가람동 266-4,35.0234114357996,126.798520802987
안산고잔신도시점,경기도,경기도 안산시 단원구 고잔동 771-1 창진타운 130호,37.3112713946448,126.830827587352
부산강서점,부산,부산광역시 강서구 체육공원로6번길 184,35.2094117967221,128.982706586271
청주용평로점,충청북도,충북 청주시 서원구 용평로 113번길 15 1층,36.6008094213474,127.490529520934
제주영어교육도시점,제주도,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 8 1층,33.2790420956457,126.274323680979
대전시청점,대전,대전 서구 둔산동 1431번지 1층,36.3493205039413,127.389011773013
대구중앙로점,대구,대구광역시 중구 중앙대로 421,35.8707430855529,128.593756830698
창원대동백화점,경상남도,"경상남도 창원시 성산구 원이대로 730, 창원대동백화점 1F",35.2203132862628,128.690744607686
창원상남점,경상남도,경남 창원시 성산구 원미대로 682번길,35.1983,128.7027
가평휴게소 하행선점,경기도,경기도 가평군 설악면 미사리로 540번길 51,37.7019403489619,127.546805136522
가평휴게소 상행선점,경기도,경기도 가평군 설악면 미사리로 544,37.7016978925313,127.543474220155
원주행구길카페점,강원도,강원도 원주시 행구로 466(행구동 198번지),37.3443230088858,128.007731829849
야탑역점,경기도,경기도 성남시 분당구 성남대로926번길 18,37.4131094391911,127.129745307947
김해부원역점,경상남도,경남 김해시 김해대로 2351 부원역그린코아더센텀,35.2212961,128.9289213
송도유원지점,인천,인천시 연수구 청량로 125,37.4184951017917,126.654010017507
전주백제대로DT점,전라북도,전라북도 전주시 덕진구 백제대로 552,35.8395349636189,127.130405307569
해운대장산점,부산,부산광역시 해운대구 세실로69번길 17,35.171578922128,129.175911739979
진하비치점,울산,울산 울주군 서생면 진하리 84-11,35.3831689131763,129.345152495269
첨단리버사이드DT점,광주,광주광역시 북구 임방울대로 945 (신용동 477-12),35.2158541294107,126.861496632875
세종고운점,세종시특별자치시,세종시 마음로 272-5 (고운동) 103호 (티앤스타빌딩),36.5194432794932,127.235994195677
서울대관정도서관점,서울,"서울시 관악구 관악로1 서울대학교 관정도서관 부속동 2,3층",37.4662872666604,126.94815644252
대전성모병원점,대전,"대전 중구 대흥로 64, 가톨릭대학교 대전성모병원 1층",36.3219928632375,127.420211690552
