매점명,지역,주소,위도,경도
포항송도비치점,경상북도,경북 포항시 남구 송도동 254-216,36.0403391193614,129.377168087844
세종퍼스트점,세종시특별자치시,"세종특별자치시 나리로 38, 108,109호 (한솔동, 상가동)",36.4718376,127.2545453
대천해수욕장점,충청남도,충남 보령시 신흑동 1982,36.3058978380741,126.516492978087
울산명촌점,울산,울산광역시 북구 진장동 757-10 2층,35.5603850416713,129.356902843473
대구현풍테크노점,대구,대구 달성군 현풍면 중리 509 (현풍테크노길),35.6887824074375,128.449582736463
부산대병원점,부산,부산광역시 서구 까치고개로197번길 3,35.1001884856653,129.017178050131
삼성DSR점,경기도,경기도 화성시 삼성1로5길 6,37.2253732487128,127.072699101388
구미신평대로점,경상북도,경상북도 구미시 신평동 326-2번지 외 2필지,36.1157731735625,128.363429404494
부산구포점,부산,부산 북구 구포동 산 46-1,35.19957,129.00564
대구신암점,대구,대구 동구 신암동 216-16번지,35.8825341782667,128.621930007166
대구황금점,대구,대구 수성구 청수로 130,35.8396188451087,128.622360992661
영천시청점,경상북도,경북 영천시 문외동 253-5,35.9720294833081,128.935296204972
전주서신여울점,전라북도,전북 전주시 완산구 서신동 932-8,35.8368745070321,127.108396742675
나주빛가람점,전라남도,전라남도 나주시 빛가람동 692-2,35.0097434755462,126.78753211749
울산학성공원점,울산,울산 중구 반구동 582-7,35.556259211587,129.341377042706
충북혁신도시점,충청북도,"충북 음성군 맹동면 두성리 충북혁신도시 CC2블럭 1-1 롯트 파스텔시티107,108,204호",36.9070500171714,127.551268401531
김포사우점,,"경기 김포시 사우동 924 제우스 프라자 109호, 110호 일부",37.6195292774696,126.720032385336
서울숲점,서울,서울 성동구 성수동1가 14-18,37.5468671338669,127.049714298071
제주종합청사점,제주도,제주 제주시 도남동 694-3,33.4895778085444,126.523593707513
대구봉무공원점,대구,대구 동구 봉무동 531-2번지,35.9213952295273,128.645488910633
광주시청로점,광주,광주 서구 치평동 1231-3,35.1536251439346,126.851180664149
울산혁신도시점,울산,울산 중구 종가6길 25,35.5626456465112,129.311510931396
제주제원점,제주도,제주 제주시 연동 273-4,33.4875472583332,126.490550248215
부산종합터미널점,부산,부산 금정구 중앙대로 2238 부산종합터미널,35.2846866758906,129.095480074212
구미오태점,경상북도,경북 칠곡군 북삼읍 인평1리 1039-3번지,36.0790099995034,128.340874735461
세종라온점,세종시특별자치시,"충남 연기군 조치원읍(세종시 도담동) 1-4생활권 라온프라이빗 시티1, 113호",36.6053318010723,127.297595653532
경북상주점,경상북도,경북 상주시 냉림동 363번지 외 2칠지,36.4232987759478,128.158746844365
대구두류점,대구,대구 달서구 두류동 135-14번지 (대구 달구벌대로),35.8587963839553,128.561610029254
김해인제대점,경상남도,경남 김해시 삼방동  172-3 (김해시 활천로 255번길 4),35.2459500634961,128.906241960016
제주 노형로타리점,제주도,제주 제주시 다랑곶길 4번지,33.4870184952883,126.479275489973
대구신서혁신도시점,대구,대구 동구 각산동 1080-2 (각산로 1080-2),35.87845219434,128.715314289008
제주일도점,제주도,제주 제주시 일도2동 360-11,33.5059996410114,126.538130186731
당진CGV점,충청남도,충남 당진시 읍내동 1532번지 외 3필지 당진CGV 1층,36.9019364521453,126.630343661758
전남대점,광주,광주 북구 호동로 15 (용봉동 161-17),35.1752149387117,126.914213207097
목포석현점,전라남도,전남 목포시 석현동 1168-25 (옥암로 173),34.8134968130102,126.42217408893
대왕암공원점,울산,울산 동구 일산동 903-5 대왕암상가 5동 2호,35.4909051135789,129.43539839587
서면솔라리아니스테츠호텔점,부산,부산 부산진구 부전동 233-16번지,35.1523224768625,129.058176948963
청주수암골점,충청북도,충북 청주시 상당구 수동 91-2외 2필지,36.6421450641971,127.496773951644
선정릉역점,서울,서울 강남구 논현동 254-16 성원빌딩 1층,37.5143500778738,127.041056788916
동강병원점,울산,울산 중구 태화동 동강병원 123-3번지,35.5574486,129.2965129
분당KT계원점,경기도,경기 성남시 분당구 정자동 139-7,37.3602299458779,127.114279243329
광주유스퀘어점,광주,광주 서구 광천동 유스퀘어 광천터미널,35.1647499,126.8810106
전주중화산점,전라북도,전북 전주시 완산구 중화산동 2가 770-1,35.8188828864188,127.117194950674
구미봉곡점,경상북도,경상북도 구미시 봉곡동 297-7,36.1517021805954,128.317350588332
장생포점,울산,울산광역시 남구 장생포고래로 257-1(매암동)  카페 파스쿠찌,35.5038421353045,129.382214291336
부산남산점,부산,"부산시 금정구 금샘로 351 2,3층 (구서동)",35.2545593320721,129.0845982745
부산해운대점,부산,부산 해운대구 우동 618-18번지,35.1622596400178,129.160313413346
제주이도점,제주도,제주 제주시 이도2동 1986-20 제비동 1층,33.4891363500114,126.5396131691
교대메가스터디점,서울,서울 서초구 서초동 1671-2번지,37.4933189981992,127.014640748168
서산호수공원점,충청남도,충남 서산시 읍내동 50-3 1층,36.7751064017886,126.448185480282
제주 용담해안도로점,제주도,제주 제주시 용담3동 2319-1,33.5194568172477,126.493131200861
광주황금점,광주,광주 동구 황금동 19-1,35.1475439838354,126.914792494654
구월로데오점,인천,인천광역시 남동구 인하로489번길 28 (로데오프라자 201호),37.4448481331132,126.701480649521
울산성남점,울산,울산광역시 중구 성남동 191-27 2F,35.5537163244628,129.318106007984
울산번영점,,울산 남구 달동 1356-12,35.5390501797919,129.328723100542
상무DY점,광주,광주 서구 마륵동 162-7,35.145704677608,126.84932931877
춘천거두점,강원도,강원도 춘천시 동내면 거두리 1102-2,37.8563621675895,127.757914004914
평택역점,경기도,"경기도 평택시 평택시 평택2로 19-2, 1층(평택동)",36.9932685158821,127.088584496064
안양예술공원점,경기도,경기도 안양시 만안구 석수동 825,37.4193823443915,126.923180445186
의정부역점,경기도,경기도 의정부시 의정부동 493-3 웨딩팰리스 1층,37.7379909449604,127.041554257522
뱅뱅사거리점,서울,서울시 서초구 서초동 1340-11번지 1층,37.4888672962391,127.030991794095
익산 모현점,전라북도,전북 익산시 모현동 1가 836,35.9521453709644,126.939188722811
여수여서점,전라남도,전남 여수시 여서동 220-5 향군회관 1층,34.7541882988162,127.706478491102
거제장승포점,경상남도,경남 거제시 장승포동 701-6번지,34.8671924328941,128.726329969338
대구동성로광장점,대구,"대구광역시 중구 동성로3가 67-1 1,2층",35.8668960917629,128.593961537616
울산구영점,울산,울산광역시 울주군 범서읍 구영리 395-5번지,35.5663569201124,129.246944626062
구미금오산점,경상북도,경북 구미시 남통동 155,36.1212449347386,128.323903036063
목포북항점,전라남도,전라남도 목포시 산정동 1768,34.8064413581387,126.373612554222
대전청사점,대전,대전시 서구 월평동 236번지,36.3624584719704,127.377656303352
에스프레소바 양재점,서울,서울시 서초구 남부순환로 2620 1층,37.484522966337,127.037325442562
종로2가점,서울,서울시 종로구 관수동 3-1,37.5697761416414,126.989336008869
삼성역점,서울,서울시 강남구 삼성동 168-21 석광빌딩 1층,37.5105429240595,127.062880335128
논현역점,서울,서울시 강남구 논현동 122-8 동화히스110호,37.5106854565479,127.023447046119
