노선명,역명,총 승차승객수,총 하차승객수
6호선,안암(고대병원앞),10685.483870967742,10479.774193548386
6호선,약수,3459.6774193548385,3399.548387096774
6호선,역촌,3755.5806451612902,4316.580645161291
6호선,연신내,1.5806451612903225,0.0
6호선,월곡(동덕여대),10535.09677419355,10335.322580645161
6호선,월드컵경기장(성산),3919.967741935484,3986.7096774193546
6호선,응암,16764.387096774193,16707.16129032258
6호선,이태원,11410.516129032258,12521.451612903225
6호선,증산(명지대앞),8746.064516129032,8704.064516129032
6호선,창신,3209.2258064516127,2672.2580645161293
6호선,청구,3541.935483870968,3513.548387096774
6호선,태릉입구,5436.451612903225,5660.8387096774195
6호선,한강진,8970.387096774193,10580.193548387097
6호선,합정,12994.0,12887.41935483871
6호선,화랑대(서울여대입구),9746.354838709678,8206.193548387097
6호선,효창공원앞,7018.709677419355,6370.419354838709
7호선,가산디지털단지,38780.25806451613,38442.87096774193
7호선,강남구청,15039.225806451614,16652.032258064515
7호선,건대입구,13432.677419354839,13881.612903225807
7호선,고속터미널,17632.709677419356,14534.387096774193
7호선,공릉(서울과학기술대),11476.225806451614,11409.612903225807
7호선,광명사거리,20851.709677419356,20757.870967741936
7호선,군자(능동),14783.677419354839,11758.129032258064
7호선,남구로,13950.354838709678,14702.709677419354
7호선,남성,10371.322580645161,10024.645161290322
7호선,내방,13867.032258064517,13936.0
7호선,노원,19856.387096774193,20586.483870967742
7호선,논현,17608.290322580644,18583.516129032258
7호선,대림(구로구청),9020.354838709678,9011.0
7호선,도봉산,7729.806451612903,9031.09677419355
7호선,마들,12403.161290322581,11849.58064516129
7호선,먹골,9692.0,9702.258064516129
7호선,면목,13619.193548387097,13243.322580645161
7호선,반포,6300.193548387097,6037.967741935484
7호선,보라매,6210.806451612903,6446.806451612903
7호선,사가정,14981.032258064517,15094.516129032258
7호선,상도,11115.741935483871,10726.645161290322
7호선,상봉,17461.709677419356,16921.677419354837
7호선,수락산,11491.290322580646,11563.193548387097
7호선,숭실대입구(살피재),11509.935483870968,11596.41935483871
7호선,신대방삼거리,14132.483870967742,13798.387096774193
7호선,신풍,11289.354838709678,10752.354838709678
7호선,어린이대공원(세종대),12944.483870967742,12793.935483870968
7호선,온수(성공회대입구),8314.258064516129,7614.645161290323
7호선,용마산(용마폭포공원),5398.967741935484,5397.1612903225805
7호선,이수,16306.483870967742,15826.032258064517
7호선,자양(뚝섬한강공원),8009.096774193548,7903.225806451613
7호선,장승배기,9205.064516129032,9017.645161290322
7호선,장암,2381.2580645161293,994.1612903225806
7호선,중계,13391.161290322581,12437.258064516129
7호선,중곡,10284.516129032258,9874.354838709678
7호선,중화,10318.967741935483,10284.612903225807
7호선,천왕,10634.967741935483,10344.645161290322
7호선,철산,20992.709677419356,21492.25806451613
7호선,청담,16933.290322580644,18277.290322580644
7호선,태릉입구,7807.677419354839,7337.935483870968
7호선,하계,16658.290322580644,15646.483870967742
7호선,학동,21108.645161290322,21862.516129032258
8호선,가락시장,8403.935483870968,9133.290322580646
8호선,강동구청,10139.41935483871,10431.58064516129
8호선,남위례,7070.387096774193,6996.1612903225805
8호선,남한산성입구(성남법원.검찰청),11284.354838709678,10103.677419354839
8호선,단대오거리,10967.09677419355,10728.387096774193
8호선,모란,4874.774193548387,3928.451612903226
8호선,몽촌토성(평화의문),7358.1612903225805,7635.935483870968
8호선,문정,21213.8064516129,21995.354838709678
8호선,복정,8688.741935483871,7412.677419354839
8호선,산성,5674.419354838709,5780.870967741936
8호선,석촌,8945.193548387097,10074.548387096775
8호선,송파,9442.483870967742,9425.612903225807
8호선,수진,5217.870967741936,4825.741935483871
8호선,신흥,5220.8387096774195,5331.870967741936
8호선,암사,15138.967741935483,14208.483870967742
8호선,암사역사공원,6246.258064516129,5497.129032258064
8호선,잠실(송파구청),20260.25806451613,22905.677419354837
8호선,장지,16393.483870967742,15301.193548387097
8호선,천호(풍납토성),17434.516129032258,19833.129032258064
9호선,가양,20625.709677419356,20330.83870967742
9호선,개화,2232.451612903226,1525.7096774193549
9호선,고속터미널,14468.41935483871,20139.09677419355
9호선,공항시장,2626.516129032258,2867.0
9호선,구반포,1981.741935483871,1782.7096774193549
9호선,국회의사당,16401.8064516129,16471.870967741936
9호선,김포공항,5968.580645161291,11110.0
9호선,노들,4548.806451612903,3851.8387096774195
9호선,노량진,26278.967741935485,26078.516129032258
9호선,당산,18316.83870967742,17743.41935483871
9호선,동작(현충원),1993.258064516129,1754.0967741935483
9호선,등촌,12055.645161290322,11838.90322580645
9호선,마곡나루(서울식물원),14362.09677419355,13903.612903225807
9호선,사평,3864.483870967742,3791.8064516129034
9호선,샛강,6135.4838709677415,6088.741935483871
9호선,선유도,8607.451612903225,7991.354838709677
9호선,신논현,30828.354838709678,31625.387096774193
9호선,신목동,4203.870967741936,3788.548387096774
9호선,신반포,4472.354838709677,4316.451612903225
9호선,신방화,6538.290322580645,6458.8387096774195
9호선,양천향교,10141.322580645161,10356.09677419355
9호선,여의도,28572.83870967742,27160.90322580645
9호선,염창,16987.322580645163,16310.322580645161
9호선,증미,7435.225806451613,7241.129032258064
9호선,흑석(중앙대입구),8500.709677419354,8650.548387096775
9호선2~3단계,둔촌오륜,4204.258064516129,4169.419354838709
9호선2~3단계,봉은사,20788.612903225807,21998.354838709678
9호선2~3단계,삼성중앙,7463.322580645161,7766.451612903225
9호선2~3단계,삼전,8366.064516129032,8000.354838709677
9호선2~3단계,석촌,9383.935483870968,8518.225806451614
9호선2~3단계,석촌고분,7380.935483870968,7241.806451612903
9호선2~3단계,선정릉,9275.0,9988.806451612903
9호선2~3단계,송파나루,6118.258064516129,6517.774193548387
9호선2~3단계,언주,11177.935483870968,11303.451612903225
9호선2~3단계,올림픽공원(한국체대),8358.225806451614,8328.258064516129
9호선2~3단계,종합운동장,5230.1612903225805,5116.774193548387
9호선2~3단계,중앙보훈병원,11577.193548387097,10024.90322580645
9호선2~3단계,한성백제,3160.4193548387098,2837.6774193548385
경강선,경기광주,7317.419354838709,7058.967741935484
경강선,곤지암,2091.2903225806454,2003.3548387096773
경강선,부발,2259.1935483870966,2155.3225806451615
경강선,삼동,2103.8709677419356,2022.0645161290322
경강선,성남,1250.4193548387098,1129.032258064516
경강선,세종대왕릉,298.06451612903226,290.19354838709677
경강선,신둔도예촌,1323.483870967742,1254.1290322580646
경강선,여주,2734.451612903226,2655.0
경강선,이매,914.3548387096774,822.5483870967741
경강선,이천,2760.1935483870966,2903.7096774193546
경강선,초월,3391.6129032258063,3166.7096774193546
경강선,판교,5559.4838709677415,5364.645161290323
경부선,가산디지털단지,14738.193548387097,17262.516129032258
경부선,관악,6396.225806451613,6254.064516129032
