매장명,주소,구,위도,경도
역삼점,서울 강남구 논현로72길 13 1층(역삼동),강남구,37.4958440607421,127.040532805045
강남원에디션점,서울 강남구 언주로 563,강남구,37.5079337330229,127.038168392484
강남행복병원점,"서울 강남구 헌릉로590길 60 (세곡동, 강남구립 행복요양병원) 1F",강남구,37.4611766303736,127.10332264232
강남나누리병원점,서울 강남구 언주로149길 5 (논현동) 1F,강남구,37.5205092341033,127.033694770592
학동제마점,서울 강남구 학동로34길 22 (논현동),강남구,37.5131174134101,127.033652198273
삼성대치점,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩) 1층",강남구,37.5003851860407,127.063023470075
강남대치점,"서울 강남구 역삼로 415 (대치동, 성진빌딩) 1층",강남구,37.5012890411822,127.052395659668
강남율현점,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자) 지상1층 104,105호",강남구,37.4735487656314,127.107863694133
한티역점,서울 강남구 도곡로69길 8 (대치동) 1층,강남구,37.4979490135961,127.056118735013
청담역점,"서울 강남구 삼성로 721 (청담동, 룩희 819) 1층",강남구,37.5200643058897,127.049146860404
강남구청역아이티웨딩점,"서울 강남구 학동로 338 (논현동, 강남파라곤) 이디야커피",강남구,37.5165402749359,127.04016223452
학동역점,"서울 강남구 학동로 219 (논현동, 국제빌딩) 2층",강남구,37.5149944434401,127.033126051166
강남논현학동점,서울 강남구 논현로131길 28 1층,강남구,37.5140808650413,127.028107144711
강남도산점,서울 강남구 도산대로37길 20 1층(신사동),강남구,37.5222784215718,127.031487626912
[하단 유의사항 확인2],서울 강남구 논현로 636,강남구,37.51047621899,127.032979505594
을지병원사거리점,서울 강남구 도산대로30길 7 1층(논현동),강남구,37.5193954737507,127.029425389395
삼성한전점,서울 강남구 테헤란로 107길 11(삼성동 169-10),강남구,37.5104297492841,127.065059101392
역삼중앙점,서울특별시 강남구 언주로81길 8,강남구,37.5003535799397,127.042879601261
도산사거리점,서울특별시 강남구 언주로148길 14 나동 1층 107호,강남구,37.5206301397046,127.036162554013
대청역점,서울특별시 강남구 개포로109길 34,강남구,37.4942045850869,127.077648338611
개포동역점,서울특별시 강남구 개포로82길 11,강남구,37.4885582921416,127.067443820505
일원동점,서울특별시 강남구 양재대로27길 20,강남구,37.4904079402405,127.081630306699
역삼충현점,서울 강남구 역삼동  667-18,강남구,37.5037882474823,127.036329387683
강남YMCA점,서울 강남구 논현동  봉은사로37길 29 뜨레빌빌라 101호,강남구,37.5099426623488,127.035705883792
청담사거리점,서울 강남구 청담동  125-22,강남구,37.5248672143657,127.050373028436
신사역점,서울 강남구 신사동  512-10 대성빌딩1층,강남구,37.5175392751358,127.02018590454
도곡2동점,서울 강남구 도곡동  518-10번지 1층,강남구,37.4824241958937,127.043039286912
역삼역점,서울 강남구 역삼동  643-10,강남구,37.501811599578,127.035210851366
역삼플래티넘점,서울 강남구 역삼동 826-37 쌍용플래티넘상가 B-108,강남구,37.495399931601,127.030405784953
역삼월드점,서울 강남구 역삼동 754-2 도곡프라자 102,강남구,37.4985294364015,127.047948718425
삼성동점,서울 강남구 테헤란로88길 10 101호,강남구,37.5068423754133,127.059463196738
길동사거리점,서울 강동구 천호대로 1132 1층 101-103호(성내동),강동구,37.5340717110259,127.136981871571
천호중흥S클래스점,서울 강동구 천호동 423-200,강동구,37.5414366890331,127.126961242845
암사상암로점,서울 강동구 상암로 55 1층,강동구,37.5494244486092,127.129490429887
둔촌오륜포레온점,"서울 강동구 양재대로 1300 (둔촌동, 올림픽파크포레온) 포레온스테이션 나인 144호",강동구,37.5249677176279,127.140290598327
강일점,"서울 강동구 아리수로93길 19 (강일동, 임페리얼타워) 1층",강동구,37.5653806615841,127.174117962328
강동성내점,서울 강동구 풍성로 162 (성내동) 1층,강동구,37.5305040538801,127.129853009462
강동고덕교차로점,"서울 강동구 고덕로 421 (강일동, 대한연세요양원) 1층",강동구,37.5574052401914,127.172575598882
명일역점,"서울 강동구 구천면로 424 (명일동, 명일메가타운)",강동구,37.5503498644145,127.145579195087
천호중앙점,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합) 1층 105호",강동구,37.540169637196,127.124570380688
고덕그라시움후문점,서울 강동구 동남로82길 121 (고덕동) 1층,강동구,37.5603957646344,127.163698036337
강동구청점,서울 강동구 성내동 556-2,강동구,37.5290239750807,127.122346987114
암사중앙점,서울 강동구 암사길 50 근린생활시설동 105호(암사동),강동구,37.5513635720856,127.134728442286
천호초교사거리점,서울특별시 강동구 구천면로 304,강동구,37.5467270340876,127.134809493652
명일중앙점,서울특별시 강동구 상암로 210 (명일동),강동구,37.5462992589271,127.145789262651
보훈병원점,서울 강동구 둔촌동  556 암펠로스타워 1층,강동구,37.5288639108014,127.143075086168
길동역점,서울 강동구 길동  양재대로 1471번지 동선빌딩 1층,강동구,37.5373607499164,127.139268457231
강동역점,서울 강동구 천호동 450번지 강동상떼빌 제엘106호,강동구,37.5370222391811,127.130435922027
둔촌점,서울 강동구 양재대로 1377 1층 9호,강동구,37.5292227276953,127.136262071919
천호현대점,서울 강동구 천호동 432-2,강동구,37.5410292788982,127.123715027772
미아역점,서울 강북구 미아동  207-3,강북구,37.6271106098073,127.025439382454
수유역점,서울 강북구 수유동  191-2,강북구,37.6393922863843,127.026752304465
가오리역점,서울 강북구 삼각산로 108 1층,강북구,37.6406008108564,127.016163948133
번동점,서울 강북구 번동  309,강북구,37.6288125342481,127.039898917171
한신대점,서울 강북구 덕릉로 31 수유동 이디야커피 1층,강북구,37.6343160541282,127.016985885932
미아중앙점,"서울특별시 강북구 도봉로 128 (미아동, 1층)",강북구,37.6204657886777,127.028755869816
북한산점,서울 강북구 4.19로 85 1층,강북구,37.6447955068975,127.005595867384
미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스) 상가1층",강북구,37.6169370292441,127.034610388171
미아트리베라점,"서울 강북구 삼양로19길 25 (미아동, 삼성래미안트리베라1차아파트) 지하 1층 107동 1-1호",강북구,37.6156943247238,127.021139026425
염창대로점,서울 강서구 염창동 262,강서구,37.5488204952569,126.876294728981
방화역점,"서울 강서구 금낭화로 145 (방화동, 에어뷰21-1오피스텔) 126호",강서구,37.5783009851923,126.812798304593
등촌3동성당점,"서울 강서구 강서로56길 110 (등촌동, SJC빌딩) 이디야 등촌3동성당점",강서구,37.5588989867375,126.844878507014
개화산점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움) 본관동1층",강서구,37.5723030060453,126.806994113323
예원문화센터점,"서울 강서구 화곡로63길 65 (등촌동, 예원교회) 2층",강서구,37.5579738421304,126.849189076142
화곡본동시장점,서울 강서구 까치산로4길 11 (화곡동) 1층,강서구,37.5422274684945,126.844262083668
마곡헤리움점,"서울 강서구 마곡중앙5로1길 25 (마곡동, 마곡헤리움2차) 1층 108호",강서구,37.5692420716795,126.826138036672
마곡파인스퀘어점,"서울 강서구 마곡중앙4로 22 (마곡동, 파인스퀘어) 1층 124,125,126호",강서구,37.5582829549403,126.829009917866
까치산로점,"서울 강서구 까치산로 182 101호, 102호",강서구,37.553313221654,126.853891289928
방화동로점,서울 강서구 방화동로 95 1층(방화동   580-130번지),강서구,37.5690161610357,126.812631152778
강서구청점,서울 강서구 화곡동  981-1,강서구,37.5503031171874,126.848769072181
우장산동점,"서울 강서구 우현로 15 102~103호(화곡동, 우장산빌딩)",강서구,37.5471679730925,126.843625687446
화곡로점,서울 강서구 화곡3동  1067-20 2층,강서구,37.5408596801842,126.83647718475
방화사거리점,서울특별시 강서구 양천로 72  106호,강서구,37.5732116324409,126.811777075121
강서NC점,서울 강서구 등촌동  674-2,강서구,37.5593359570029,126.839277837374
강서한강자이점,서울 강서구 가양동  52-7 강서한강자이타워 B동 108-2,강서구,37.5678839,126.8498488
공항시장역점,서울특별시 강서구 방화동로 37-0 (방화동 메디스 타워 ),강서구,37.5641822785808,126.810682079138
염창동점,서울 강서구 염창동  264-37,강서구,37.5506391280468,126.871954635693
등촌역점,서울 강서구 등촌동  등촌로 217,강서구,37.5491824406556,126.863315147109
화곡사거리점,서울 강서구 화곡동  342-53,강서구,37.5307877471735,126.847927380313
봉천역점,서울 관악구 봉천동  931-4,관악구,37.4826781385874,126.941894404176
신림미성점,서울 관악구 신림동  난곡로 250,관악구,37.4765402893322,126.915984298817
신대방역점,서울특별시 관악구 난곡로 368 (신림동 송암빌딩 ) 송암빌딩2층,관악구,37.4868566719231,126.913752282818
녹두거리점,서울특별시 관악구 신림로 91 1층,관악구,37.4703086452623,126.939065988966
봉일시장점,서울특별시 관악구 은천로 23,관악구,37.4864072865821,126.937927086846
관악하나로마트점,서울 관악구 남부순환로 1369 1층(신림동),관악구,37.4801331328431,126.902907755863
난곡사거리점,서울 관악구 남부순환로 1444 1층,관악구,37.4809279906563,126.911256043771
신림패션문화점,서울 관악구 봉천로6길 24 1층(신림동),관악구,37.488621134755,126.925430749958
남현홈플러스점,서울 관악구 과천대로 909 홈플러스서울남현점 1층,관악구,37.4714704021418,126.982466468514
청룡중앙점,서울특별시 관악구 쑥고개로 80 (봉천동) 1층,관악구,37.4792117658952,126.945267468435
신림대학동점,서울 관악구 호암로26길 17 (신림동) 1층,관악구,37.4707490184504,126.934607229207
신림역점,서울 관악구 신림로 312 (신림동) 1층 좌측호,관악구,37.4821884771875,126.93014846789
신림문화교점,서울 관악구 신림동 92-32 (서원동성당),관악구,37.4784655538241,126.933507017046
봉천현대시장점,서울 관악구 봉천동 899-31,관악구,37.4857194380108,126.94674979265
