브랜드명,지역,매장명,주소,위도,경도
컴포즈커피,충남,삼성디스플레이아산2(A2)점,충청남도 아산시 탕정면 탕정로 380-2 A2공장동 1층 (삼성디스플레이 아산2캠퍼스 일반산업단지A1-2 (A2사무동 동편로비)),36.8191879482132,127.063361951565
투썸플레이스,충남,천안터미널점,"충청남도 천안시 동남구 만남로 43 (신부동,신세계백화점충청점,천안종합버스터미널) B동 지하1",36.8193302097389,127.15784651678
공차,충남,천안터미널점,충청남도 천안시 동남구 만남로 43 지하 1층 시외버스터미널,36.8193302097389,127.15784651678
던킨도너츠,충남,천안신부,"충청남도 천안시 동남구 만남로 43,고속버스터미널A동1층(신부동)",36.8193302097389,127.15784651678
던킨도너츠,충남,천안터미널,"충청남도 천안시 동남구 만남로 43 (신부동, 신세계백화점천안아산점천안종합버스터미널)",36.8193302097389,127.15784651678
빽다방,충남,천안시청점,충청남도 천안시 서북구 불당동 1489(불당25로 208),36.8196436915574,127.109428580838
공차,충남,천안불당파크점,충청남도 천안시 서북구 불당동 1489번지 중원프라자,36.8196436915574,127.109428580838
메가커피,충남,천안백석현대점,"충청남도 천안시 서북구 백석4길 44, 1층(백석동)",36.8221596308698,127.124500994232
빽다방,충남,천안백석점,충청남도 천안시 서북구 백석4길 44,36.8221596308698,127.124500994232
메가커피,충남,천안성정점,"충청남도 천안시 서북구 성정두정로 12, 105호(성정동 , 메트로존-1)",36.8265771178337,127.141513875988
컴포즈커피,충남,천안성정롯데점,충청남도 천안시 서북구 성정두정로 12,36.8265771178337,127.141513875988
공차,충남,천안성정점,충청남도 천안시 서북구 성정두정로 12,36.8265771178337,127.141513875988
빽다방,충남,천안백석환서점,충청남도 천안시 서북구 한들3로 78-3 (백석동) 1층,36.8307596201805,127.123903776567
던킨도너츠,충남,천안백석,충청남도 천안시 서북구 한들3로 78-3 (백석동),36.8307596201805,127.123903776567
할리스,충북,(하)괴산휴게소점,충청북도 괴산군 장연면 중부내륙고속도로 205 괴산(마산방향)휴게소 할리스커피,36.831408783872,127.957865712961
던킨도너츠,충북,괴산휴게소(하),"충청북도 괴산군 장연면 중부내륙고속도로 205 (오가리, 괴산마산휴게소)",36.831408783872,127.957865712961
빽다방,충남,천안두정점,충청남도 천안시 서북구 두정로 271 (두정동),36.8332567599608,127.147007440446
빽다방,충남,천안두정역점,"충청남도 천안시 서북구 두정로 271, 1층",36.8332567599608,127.147007440446
메가커피,충남,천안차암점,"충청남도 천안시 서북구 3공단6로 58-8, 1층 108호 일부(차암동 , 천안비즈타워)",36.8409673950653,127.104030281386
빽다방,충남,천안차암점,"충청남도 천안시 서북구 3공단6로 58-8, 102호",36.8409673950653,127.104030281386
메가커피,충남,삼성천안C2점,"충청남도 천안시 서북구 번영로 465 (성성동, 삼성전자(주)천안캠퍼스)",36.8417769471557,127.118837229524
컴포즈커피,충남,삼성전자천안캠퍼스점,"충청남도 천안시 서북구 번영로 465 (성성동, 삼성전자(주)천안캠퍼스)",36.8417769471557,127.118837229524
파스쿠찌,충남,망향휴게소,충청남도 천안시 서북구 성거읍 돌다리길 23-37,36.8560259693033,127.181213326292
던킨도너츠,충남,망향휴게소,"충청남도 천안시 서북구 성거읍 돌다리길 23-37 (요방리, 망향휴게소)",36.8560259693033,127.181213326292
메가커피,충남,천안직산산단점,충청남도 천안시 서북구 직산읍 4산단7로 92 (모시리),36.8684830973917,127.12278281088
빽다방,충남,천안직산산단점,충청남도 천안시 서북구 직산읍 4산단7로 92,36.8684830973917,127.12278281088
이디야,충남,당진문예의전당점,충청남도 당진시 시청1로 75 (읍내동) 1층,36.8908224079902,126.639238701924
메가커피,충남,당진문예의전당점,충청남도 당진시 시청1로 75 (읍내동),36.8908224079902,126.639238701924
빽다방,충남,당진터미널점,충청남도 당진시 밤절로 136,36.9015027989862,126.645225106952
공차,충남,당진터미널점,"충청남도 당진시 밤절로 136, 1층",36.9015027989862,126.645225106952
메가커피,충남,아산테크노밸리점,"충청남도 아산시 둔포면 아산밸리중앙로 82 , 1동 109호",36.9232594940192,127.05722323141
