지점명,주소,위도,경도
양주옥정점,경기 양주시 옥정로 226  (옥정동)  1층 108호,37.8217351425577,127.092147213799
인천 석남점,인천 서구 가정로 258  (석남동) 지인프라자 1층,37.5078357972895,126.672578918666
안산 그랑시티자이점,경기 안산시 상록구 사동 1639  그랑시티자이2차아파트 상가 121호,37.2800935561064,126.832156241054
가재울 뉴타운점,"서울 서대문구 거북골로 100  (남가좌동, 래미안 루센티아) 래미안루센티아 상가1호",37.5757256799627,126.918353630124
동산 마동점,전북 익산시 중앙로33길 1  (마동),35.9361351840882,126.965909074899
김포 구래점,"경기 김포시 김포한강9로75번길 180  (구래동, 두원타워) (구래동, 두원타워)",37.6449161667142,126.624480283456
원흥 삼송점,경기 고양시 덕양구 권율대로 690  (원흥동)  202동 104호,37.6504571717728,126.875619354956
대전관저롯데시네마점,대전 서구 봉우로8번길 23  (관저동) 103A,36.3025446163471,127.33371801988
전주만성점,전북 전주시 덕진구 만성로 137  (만성동)  만성에코르 1단지상가 107호,35.8437908201714,127.076009749664
동탄 호수공원점,"경기 화성시 동탄대로 181  (송동, 동탄린스트라우스더레이크) 레이크꼬모 A동 111호",37.1720680647347,127.104140595235
당진 기지시점,충남 당진시 송악읍 기지시1길 62  (기지시리)  1층,36.9040761432908,126.692912470679
문경점,경북 문경시 여중1길 21  (모전동),36.5977483903029,128.189559992845
남양주 다산점,"경기 남양주시 다산중앙로 109  (다산동, 다산진건지구 업무1-4)  1층 114호",37.6229363386582,127.153451340457
충북혁신도시점,충북 음성군 맹동면 원중로 1438  (동성리),36.9096704130043,127.540750439605
동탄 신리천점,경기 화성시 동탄대로14길 5-17  (오산동),37.1856651581824,127.102073103904
삼천포점,경남 사천시 주공로 3  (벌리동) 120호 (벌리동 253-6번지),34.9386076830801,128.086100992827
서산 해미점,충남 서산시 해미면 서문1로 6  (읍내리),36.7132234333592,126.545836357177
연천전곡점,경기 연천군 전곡읍 온골로 38-2  (전곡리),38.0245069310714,127.068601919074
여수 교동점,전남 여수시 진남상가길 21  (교동),34.7414280025021,127.734595175453
양산역점,경남 양산시 양산역7길 14  (중부동),35.338509884923,129.027685841882
이천점,경기 이천시 어재연로 30  (중리동),37.2791759630526,127.444747147469
경주점,경북 경주시 원화로 312  (성동동),35.848600173075,129.217711679092
철원 DMZ점,강원 철원군 동송읍 금학로 247  (이평리),38.210451397371,127.216344057547
충북진천점,충북 진천군 진천읍 중앙북로 14  (벽암리) 1층 104호,36.8592053673668,127.438244163319
길음 뉴타운점,"서울 성북구 길음로 33  (길음동, 길음뉴타운) 상가B동 29호",37.6050832927232,127.022078590713
강남역점,"서울 서초구 서초대로74길 23  (서초동, 서초타운트라팰리스)  108호",37.4956119342423,127.027090955824
구미 문성점,경북 구미시 고아읍 들성로 170  (원호리),36.1585639594311,128.339854587395
부산 시민공원점,부산 부산진구 새싹로 83-2  (부암동) B동 1층,35.1642583097589,129.053249109824
김포 운양점,경기 김포시 김포한강11로 300  (운양동) 에비뉴파크 105호,37.6554341996228,126.68245157074
금천 시흥점,서울 금천구 독산로 131-1  (시흥동),37.4590649824116,126.904897730736
오산원동점,"경기 오산시 오산로132번길 28-19  (원동, 승희프라자) (원동, 승희프라자) 1층",37.1382391818775,127.072737195697
울산 옥동점,울산 남구 문수로 322  (옥동) 동은빌딩 1층,35.5350699278741,129.288616390901
