매장명,주소,지역,위도,경도
대전역사,"대전 동구 중앙로 215 (정동, 대전역)",대전,36.3344230194263,127.432103833008
대전노은,"대전 유성구 노은로 150 (지족동, 드래곤랜드) 1층 103호,104호",대전,36.3729364285756,127.318408827921
대전타임월드,대전 서구 둔산로31번길 10-23 (둔산동),대전,36.3529056093306,127.378216099734
대전관저,대전 서구 관저로 172 (관저동) 1층 105호,대전,36.2987621692259,127.341031111259
대전도안,"대전 유성구 상대복용로29번길 52 (상대동, 대전아이파크시티 1단지), 39-40호",대전,36.3373202239018,127.329714644615
대전효동,"대전 동구 계족로 10 (효동), 1층",대전,36.3159210902373,127.441243765835
대전신탄진,대전 대덕구 대덕대로 1600 (석봉동),대전,36.4501351966582,127.425582030233
대전관평,대전 유성구 테크노중앙로 50 (관평동) B동 지상 1층 103호,대전,36.4262783297742,127.390649187115
대전목동,대전 중구 목중로 7 (목동),대전,36.3349845770688,127.412454570124
대전패션아일랜드,"대전 동구 은어송로 72 (가오동, 패션아일랜드)",대전,36.3069678174478,127.457985837078
충남대,"대전 유성구 대학로 86 (궁동, 포커스타운)",대전,36.3610863513524,127.34477497913
대전태평,"대전 중구 태평로 71 (태평동, 삼부프라자)",대전,36.3233039427153,127.393401285981
대전카이스트,"대전 유성구 대학로 291 (구성동, 한국과학기술원)",대전,36.3683750600837,127.356771410201
대전송촌,대전 대덕구 송촌북로 42 (송촌동),대전,36.3660952256111,127.436757200618
한남대,대전 대덕구 홍도로 136 (중리동),대전,36.3581130702227,127.427218982488
울산하나로,"울산 북구 진장유통로 90 (진장동, 농사산물종합유통센터)",울산,35.5791108635468,129.358752467814
울산언양,울산 울주군 언양읍 헌양길 167 (서부리),울산,35.5669476012377,129.117248126697
울산반구,울산 중구 번영로 482 (반구동),울산,35.56402931811,129.336421648247
울산무거,울산 남구 대학로 161 (무거동),울산,35.5490879760047,129.262672156103
울산성남,울산 중구 옥교동 84-5,울산,35.5534910876532,129.321933203193
울산동구홈플러스,"울산 동구 방어진순환도로 637 (일산동, 홈플러스) 홈플러스울산동구점 1층",울산,35.4989722629004,129.427474189539
울산원예농협하나로,"울산 울주군 범서읍 장검길 10 (굴화리, 울산원예농협하나로마트)",울산,35.5575889827958,129.253953044844
메가마트울산,"울산 북구 진장17길 10 (진장동, 신선도원몰) 1층",울산,35.5619158810741,129.356439885394
울산역사,"울산 울주군 삼남읍 울산역로 177 (신화리, 울산역)",울산,35.5514991806291,129.138631643059
울산이마트,"울산 남구 남중로 48 (삼산동, 울산점 EMART)",울산,35.5380173079734,129.348399921457
울산매곡,울산 북구 매산로 92-15 (매곡동),울산,35.640713649627,129.358113434375
세종연구단지,"세종특별자치시 null 세종특별자치시 시청대로 370 (반곡동, 나라키움 세종국책연구단지) A동 1층",세종,,
세종고운,"세종특별자치시 null 세종특별자치시 마음안1로 137 (고운동, 가락마을18단지 근린생활시설) 5동 106호, 107호",세종,,
세종보람,"세종특별자치시 null 세종특별자치시 한누리대로 2165 (보람동, 호려울마을7단지 근린생활시설)",세종,,
세종나성,"세종특별자치시 null 세종특별자치시 나성북로 30 (나성동, 퍼스트원), 1층 187,188",세종,,
세종정부청사,"세종특별자치시 null 세종특별자치시 한누리대로 496 (어진동, 세종 리슈빌S) 1층",세종,,
세종아름,"세종특별자치시 null 세종특별자치시 보듬3로 100 (아름동, 해피라움1)",세종,,
일산후곡,경기 고양시 일산서구 일산로 550 (일산동),경기,37.67831847492,126.767306617534
광명사거리역,"경기 광명시 광명로 898 (광명동, 광명빌딩) 1층",경기,37.4790549789538,126.854607502023
김포양촌,"경기 김포시 양촌읍 황금로 117 (학운리, 이젠몰)",경기,37.6164960068509,126.621275478816
평촌,경기 안양시 동안구 평촌동 167,경기,37.388948217631,126.97085287057
백석역,"경기 고양시 일산동구 중앙로 1047 (백석동, 영림브레아오피스텔) 109호",경기,37.6431092569009,126.787197904243
원당역사,"경기 고양시 덕양구 고양대로 1429 (성사동, 원당역)",경기,37.6534333656508,126.843104741837
행신역,"경기 고양시 덕양구 무원로6번길 36 (행신동, 남정씨티프라자6차)105호",경기,37.614046396156,126.833718262095
마석롯데마트,경기 남양주시 화도읍 경춘로 1992 (마석우리) 롯데마트내1층,경기,37.6501390859317,127.309296047054
일산풍동,"경기 고양시 일산동구 숲속마을1로 76 (풍동, 힘찬프라자)",경기,37.6677432842943,126.800363159243
마석우리,"경기 남양주시 화도읍 비룡로 62 (마석우리, 중앙프라자) 105호",경기,37.6575315902364,127.302111135394
평택민자역사,"경기 평택시 평택로 51 (평택동, 평택민자역사) 3층던킨도넛AK플라자",경기,36.9918974768998,127.083288658126
산본역,"경기 군포시 산본로323번길 13 (산본동, 군포상가) 101",경기,37.3588782416238,126.932699710138
안산고잔,"경기 안산시 단원구 광덕대로 151 (고잔동, 삼영타운) 122호",경기,37.310108731276,126.829030848646
성남태평,"경기 성남시 수정구 성남대로 1254 (태평동, 낙원스카이뷰2)",경기,37.4416557020397,127.127858183105
수원정자,경기 수원시 장안구 대평로 80 (정자동) 정연메이져105호,경기,37.2955519260015,126.993629573954
산본수리,"경기 군포시 고산로 515 (산본동, GS휘트니스클럽빌딩) 107호",경기,37.3593263028997,126.922509345266
수원대,경기 화성시 봉담읍 와우리 62-4,경기,37.214504259954,126.978045539475
분당아름마을,"경기 성남시 분당구 판교로 446 (이매동, 그린프라자) 102~103호",경기,37.4054600193076,127.1193434494
기흥휴게소,"경기 용인시 기흥구 공세로 173 (공세동, 기흥휴게소)",경기,37.2363767227901,127.104316216447
용인휴게소상행,경기 용인시 처인구 고림동 88-1,경기,37.2483572741392,127.237129600363
용인휴게소하행,경기 용인시 처인구 고림동 12-6,경기,37.2454701551681,127.242335886614
시흥은행,"경기 시흥시 은행로155번길 11 (은행동, 한별프라자)",경기,37.4442466591399,126.798118787107
가천대,"경기 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",경기,37.4512348695085,127.12939432624
용인마북,경기 용인시 기흥구 마북로 152 (마북동),경기,37.3034554826527,127.123457659874
이천터미널,"경기 이천시 이섭대천로 1200 (중리동, 종합버스터미널) 1층",경기,37.2773643351031,127.446927314044
오산세교,"경기 오산시 수청로 188 (금암동, 롯데슈퍼), 롯데슈퍼 110",경기,37.1773235749107,127.045680882069
이천장호원,경기 이천시 장호원읍 샘재로 159 (장호원리) 1층~2층,경기,37.1172534352902,127.629783773887
안산원곡,"경기 안산시 단원구 라성로 43 (원곡동, 벽산블루밍아파트)",경기,37.3275701220286,126.800328503521
영통홈플러스,"경기 수원시 영통구 봉영로 1576 (영통동, 영통홈플러스) 1층",경기,37.2518163005629,127.072602539897
수원하나로,"경기 수원시 권선구 서부로 1937 (구운동, 농협하나로클럽) 1층",경기,37.283010817525,126.966701882092
서수원이마트,"경기 수원시 권선구 수인로 291 (구운동, 서수원버스터미널) 이마트1층",경기,37.28262996578,126.97014551047
서울랜드,"경기 과천시 광명로 181 (막계동, 서울랜드)",경기,37.4365474290339,127.02404491326
김포통진,경기 김포시 통진읍 조강로 45 (마송리),경기,37.6899247839822,126.600390019573
가평,경기 가평군 가평읍 보납로 25 (읍내리),경기,37.8310958713291,127.513246368132
포천이마트,경기 포천시 호국로 915 (설운동) 이마트내 1층,경기,37.8477456830185,127.160458753698
양주이마트,"경기 양주시 평화로 1713 (회정동, 이마트) 1층",경기,37.8417501721146,127.053849955483
포천신읍,"경기 포천시 중앙로119번길 2 (신읍동, 한빛빌딩)",경기,37.8972502104286,127.202874850749
의정부중앙,경기 의정부시 평화로 544 (의정부동) 1층,경기,37.7404353412354,127.047575287157
분당서현1호,"경기 성남시 분당구 중앙공원로40번길 4, 121호 (서현동, 현대카스올림픽골프파크)",경기,37.3803400065088,127.129424511102
회룡역,"경기 의정부시 평화로 359 101호 (호원동, 회룡한주아파트상가)",경기,37.7240047338501,127.047942949173
지샘병원,경기 안양시 만안구 안양로 211 301호(안양동),경기,37.3921343035425,126.926560168907
부천상동,"경기 부천시 상동 534-6 비잔티움 상동 112,113호",경기,37.5064031568769,126.752536941026
운정야당,경기 파주시 야당동 1070,경기,37.7138144517437,126.759993101354
남양주별내,"경기 남양주시 별내중앙로 26 (별내동)101호(별내동, 진영N타워1)",경기,37.6456955959821,127.125966864176
화성시청,경기 화성시 남양읍 시청로 121 (남양리)환진빌딩 101호,경기,37.2003372902056,126.826575354995
시흥하늘휴게소,경기 시흥시 서울외곽순환고속도로 106 (조남동) 2층 214호,경기,,
광주능평,경기 광주시 오포읍 능평로 63 (능평리),경기,37.3521765993491,127.165778928879
분당파크뷰,"경기 성남시 분당구 정자일로 248 (정자동, 파크뷰) 파크뷰상가113",경기,37.3756755448413,127.107714577463
시흥하중,경기 시흥시 하중동 856-3,경기,37.3942758639869,126.804752932318
용인쥬네브,"경기 용인시 기흥구 동백죽전대로 444 (중동, 쥬네브썬월드빌딩)4층 4081, 4082호",경기,37.2909219365324,127.149368629633
파주운정,경기 파주시 청암로17번길 55 (목동동),경기,37.7279792768636,126.734864395306
성남이마트,"경기 성남시 수정구 수정로 201 (태평동, 신세계쉐덴) 1층",경기,37.4442862725336,127.141411017385
수원컨벤션센터,"경기 수원시 영통구 광교중앙로 140 (하동, 수원컨벤션센터) 1층",경기,37.2858286646645,127.059446949629
인덕원역사,"경기 안양시 동안구 흥안대로 지하 529 (관양동, 인덕원역)",경기,37.4015080484355,126.976688773261
구리갈매,"경기 구리시 갈매중앙로 89-10 (갈매동), 송원빌딩 105호",경기,37.6330013266779,127.116984130727
미사역,경기 하남시 미사강변한강로 290 모노라운지 108호,경기,37.5642184959,127.197460306827
김포마산,"경기 김포시 김포한강8로 167 (마산동), 이루프라자 1층 106호",경기,37.6374223005427,126.643692838223
가평휴게소(상),경기 가평군 설악면 미사리로 544 (미사리),경기,37.7016978925313,127.543474220155
가평휴게소(하),경기 가평군 설악면 미사리로540번길 51 (미사리),경기,37.7019403489619,127.546805136522
용인한숲시티,"경기 용인시 처인구 남사면 한숲로 84 (완장리, e편한세상 용인 한숲시티)",경기,37.1561090694356,127.173656345397
성남하대원,"경기 성남시 중원구 둔촌대로 274 (하대원동, 태연스카이빌)1층 105호",경기,37.4287498048172,127.148890702537
시흥휴게소,경기 시흥시 서울외곽순환고속도로 105 (조남동),경기,,
평택용죽,경기 평택시 용이동 684-1,경기,36.9940980911191,127.125427648486
수원월드컵,"경기 수원시 팔달구 창룡대로210번길 41 (우만동, 월드컵스포츠센터)",경기,37.2901068993408,127.035026697855
NC고잔,"경기 안산시 단원구 광덕대로 194 (고잔동, 2001아울렛) 스타맥스타워2 1층",경기,37.3134591033479,126.831015927769
죽전역사,경기 용인시 수지구 죽전동 1286,경기,37.3254254496978,127.107421554669
파주임진각,경기 파주시 문산읍 임진각로 148-73 (마정리),경기,37.8914503150005,126.740279546575
광주신현,경기 광주시 오포읍 신현리 699-3 삼승빌딩 1층,경기,37.3600897887004,127.154456598699
광주곤지암,"경기 광주시 곤지암읍 평촌길 36 (삼리, 극동빌딩)",경기,37.3564228941075,127.325718601977
서하남휴게소,경기 하남시 서울외곽순환고속도로 19 (춘궁동) 서하남휴게소,경기,37.5458231,127.1807285
전곡터미널,경기 연천군 전곡읍 온골로 54 (전곡리),경기,38.0256002872821,127.06799349865
수내역,경기 성남시 분당구 백현로101번길 21 (수내동),경기,37.3777103702222,127.112886874595
용인역북,경기 용인시 처인구 명지로60번길 8-14 (역북동),경기,37.2322192277102,127.188032288248
동두천지행,"경기 동두천시 지행로 65 (지행동, 동현빌딩) 101호",경기,37.8926766100712,127.054478205135
동탄제일병원,"경기 화성시 삼성1로 130 (석우동, 세정인디안타워)",경기,37.2153193470077,127.078896298127
부천시청,"경기 부천시 길주로 246 (중동, 부천중동리슈빌엔클래스) 104A호",경기,37.5033298065312,126.769629539809
분당차병원,경기 성남시 분당구 야탑동 351 분당차병원 1층,경기,37.4102499478694,127.125249531488
마장휴게소(하),경기 이천시 마장면 중부고속도로 82 (목리),경기,37.2627454533579,127.408483040538
일산중산,경기 고양시 일산동구 고양대로 762 (중산동),경기,37.6818587413302,126.780980857387
배곧아브뉴프랑,"경기 시흥시 서울대학로278번길 8 (정왕동, 시흥배곧 아브뉴프랑 센트럴 레드)",경기,37.3696602978227,126.726545129528
평택고덕궁리,경기 평택시 고덕면 궁2길 68-1 (궁리),경기,37.0177706117516,127.034008175629
판교테크노밸리,"경기 성남시 분당구 판교로255번길 9-22 (삼평동, 판교 우림 W-CITY)",경기,37.4040237290805,127.100089555162
평택포승,경기 평택시 포승읍 여술로 20 (도곡리),경기,36.9877168660446,126.844748644396
화성삼성전자2호,경기 화성시 삼성전자로 1 (반월동),경기,37.2234648640396,127.063384197856
시흥능곡,"경기 시흥시 승지로59번길 12 (능곡동, 시티타워)",경기,37.3688929302135,126.809033453285
화성삼성전자1호,"경기 화성시 삼성전자로 1 (반월동),(207) 매점-4(반월동)",경기,37.2234648640396,127.063384197856
의정부녹양,경기 의정부시 녹양동 412-8,경기,37.7599019266729,127.041350437699
수지구청,"경기 용인시 수지구 수지로296번길 51-10 (풍덕천동, 정석빌딩)",경기,37.3216922206707,127.095302220822
기흥삼성전자K1,"경기 용인시 기흥구 삼성로 1 (농서동, 삼성전자(주)기흥캠퍼스)",경기,37.2269444725375,127.087763746841
파주문산,"경기 파주시 문산읍 문산로 43 (문산리, 패밀리마트)",경기,37.8575500017421,126.783916617308
의정부고산,경기 의정부시 산곡동 254-1,경기,,
화성봉담,경기 화성시 봉담읍 동화길 85 (동화리),경기,37.2169931728115,126.958366387402
김포사우,"경기 김포시 돌문로 49 (사우동), 원정빌딩 1층 일부호(사우동)",경기,37.6192958195788,126.717494206751
평택동삭,경기 평택시 상서재로2길 56-10 (동삭동),경기,37.0152298306045,127.103427392179
안양동안,"경기 안양시 동안구 시민대로159번길 25 (비산동, Festa via), 1층",경기,37.3905777925779,126.947562354355
기흥테라타워,"경기 용인시 기흥구 서천로201번길 11 (농서동, 기흥 테라타워 지식산업센터), 기흥테라타워 지하1",경기,37.231425985432,127.071894127547
김포장기,"경기 김포시 김포한강1로51번길 20 (장기동, 산타마리아),산타마리아상가 111호",경기,37.6439724329596,126.667362545958
삼성미래기술캠퍼스,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)",경기,37.2509391672754,127.057817491283
남양주장현,"경기 남양주시 진접읍 장현로47번길 6-2 (장현리, 우성코아)",경기,37.7158763632996,127.179224440985
안성아양,경기 안성시 아양1길 18 (석정동),경기,37.0091055857396,127.256491548522
안양역,"경기 안양시 만안구 안양로314번길 20 (안양동), 1층(안양동)",경기,37.4004930236729,126.921558262459
