매장코드,매장명,주소,오픈날짜,위도,경도
131,창원시티세븐,"경상남도 창원시 성산구 대원동 122, 더시티세븐 상업시설동 1층 E-121호",2008-06-12,35.2393183402054,128.654995344825
570,경남대,경상남도 창원시 마산합포구 해운동 17-7번지,2012-12-14,35.1783589942317,128.558512388846
464,창원용지호수,경상남도 창원시 성산구 용호동 73-30,2011-12-23,35.2298649180885,128.681891607457
1741,마산월남동DT,"경상남도 창원시 마산합포구 월남동2가 9-2, 10-1, 10-2, 10-5",2020-12-10,35.1860697459022,128.562024670337
1912,마산봉암로DT,경상남도 창원시 마산회원구 봉암동 471-6,2022-01-06,35.2189413238845,128.599206783805
2103,진해경화역DT,경상남도 창원시 진해구 경화동 812-8,2023-03-24,35.159258025267,128.69182694757
1882,창원반림,경상남도 창원시 성산구 반림동 21 화성메디칼빌딩,2021-11-11,35.2359692897466,128.671852378774
1686,창원유니시티,경상남도 창원시 의창구 중동 784-1,2020-08-06,35.2566920674617,128.625012232411
1949,창원NC파크R,"경상남도 창원시 마산회원구 양덕동 477 마산종합운동장, 창원NC파크",2022-04-02,35.2221568785274,128.581473350927
1895,창원중앙역,경상남도 창원시 의창구 사림동 165-12,2021-12-09,35.2387972118571,128.701349283732
1978,진해부산신항,"경상남도 창원시 진해구 용원동 1342 오렌지타운, 112호",2022-05-26,35.0884076699402,128.814988691616
2329,창원경상대병원,경상남도 창원시 성산구 성주동 146-1 창원경상대학교병원,2024-09-29,35.199883883527,128.707836877592
2046,창원대로DT,경상남도 창원시 성산구 가음정동 391-1 스타벅스,2022-10-27,35.2095146469766,128.683636251734
2043,창원사파,"경상남도 창원시 성산구 사파동 84-1 가야빌딩 1,2층",2022-12-15,35.2230593750904,128.70079848078
1793,창원파티마병원,경상남도 창원시 의창구 명서동 212 창원파티마병원,2021-04-22,35.2372936919355,128.645682217831
1828,창원내서,경상남도 창원시 마산회원구 내서읍 중리 1043-1,2021-07-08,35.2490312214725,128.510681026083
2364,창원대방,"경상남도 창원시 성산구 대방동 361-1 TOP메디컬빌딩, 1층 104호",2024-12-12,35.209044126822,128.706699733754
2138,마산진동DT,경상남도 창원시 마산합포구 진동면 진동리 878-2 신라해장국,2023-06-22,35.1143788543562,128.482331792489
461,통영이마트,경상남도 통영시 광도면 죽림리 1566-2 이마트통영점,2011-12-20,34.8870223453056,128.417711910788
