역번호,역명,노선번호,노선명
S117,솔샘,L11UI,우이신설선
S118,북한산보국문,L11UI,우이신설선
S119,정릉,L11UI,우이신설선
S120,성신여대입구,L11UI,우이신설선
S121,보문,L11UI,우이신설선
S122,신설동,L11UI,우이신설선
U110,발곡,L41U1,의정부경전철
U111,회룡,L41U1,의정부경전철
U112,범골,L41U1,의정부경전철
U113,경전철의정부,L41U1,의정부경전철
U114,의정부시청,L41U1,의정부경전철
U115,흥선,L41U1,의정부경전철
U117,의정부중앙,L41U1,의정부경전철
U118,동오,L41U1,의정부경전철
U119,새말,L41U1,의정부경전철
U120,경기도청북부청사,L41U1,의정부경전철
U121,효자,L41U1,의정부경전철
U122,곤제,L41U1,의정부경전철
U123,어룡,L41U1,의정부경전철
U124,송산,L41U1,의정부경전철
U125,탑석,L41U1,의정부경전철
3107,검단호수공원,S2801,인천1호선
3108,신검단중앙,S2801,인천1호선
3109,아라,S2801,인천1호선
3110,계양,S2801,인천1호선
3111,귤현,S2801,인천1호선
3112,박촌,S2801,인천1호선
3113,임학,S2801,인천1호선
3114,계산,S2801,인천1호선
3115,경인교대입구,S2801,인천1호선
3116,작전,S2801,인천1호선
3117,갈산,S2801,인천1호선
3118,부평구청,S2801,인천1호선
3119,부평시장,S2801,인천1호선
3120,부평,S2801,인천1호선
3121,동수,S2801,인천1호선
3122,부평삼거리,S2801,인천1호선
3123,간석오거리,S2801,인천1호선
3124,인천시청,S2801,인천1호선
3125,예술회관,S2801,인천1호선
3126,인천터미널,S2801,인천1호선
3127,문학경기장,S2801,인천1호선
3128,선학,S2801,인천1호선
3129,신연수,S2801,인천1호선
3130,원인재,S2801,인천1호선
3131,동춘,S2801,인천1호선
3132,동막,S2801,인천1호선
3133,캠퍼스타운,S2801,인천1호선
3134,테크노파크,S2801,인천1호선
3135,지식정보단지,S2801,인천1호선
3136,인천대입구,S2801,인천1호선
3137,센트럴파크,S2801,인천1호선
3138,국제업무지구,S2801,인천1호선
3139,송도달빛축제공원,S2801,인천1호선
3201,검단오류,S2802,인천2호선
3202,왕길,S2802,인천2호선
3203,검단사거리,S2802,인천2호선
3204,마전,S2802,인천2호선
3205,완정,S2802,인천2호선
3206,독정,S2802,인천2호선
3207,검암,S2802,인천2호선
3208,검바위,S2802,인천2호선
3209,아시아드경기장,S2802,인천2호선
3210,서구청,S2802,인천2호선
3211,가정,S2802,인천2호선
3212,가정중앙시장,S2802,인천2호선
3213,석남,S2802,인천2호선
3214,서부여성회관,S2802,인천2호선
3215,인천가좌,S2802,인천2호선
3216,가재울,S2802,인천2호선
3217,주안국가산단,S2802,인천2호선
3218,주안,S2802,인천2호선
3219,시민공원,S2802,인천2호선
3220,석바위시장,S2802,인천2호선
3221,인천시청,S2802,인천2호선
3222,석천사거리,S2802,인천2호선
3223,모래내시장,S2802,인천2호선
3224,만수,S2802,인천2호선
3225,남동구청,S2802,인천2호선
3226,인천대공원,S2802,인천2호선
3227,운연,S2802,인천2호선
