징지역,지점ID,매점명,주소,위도,경도
서울,638,종로구청북부점,"서울특별시 종로구 종로5길 97, 1층(수송동)",37.5741760403237,126.979077836373
서울,993,답십리역점,"천호대로 305, 유진빌딩 1층 101호",37.5659324524229,127.054536940859
서울,753,동대문맥스타일점,"서울 중구 마장로 3, 맥스타일 1층 253호 254호",37.5687984821779,127.010543979771
서울,165,종로3가점,"서울특별시 종로구 종로 127, 1,2층 103호(종로3가)",37.5706823707911,126.991676215379
서울,982,중곡제일시장점,"면목로 131, 1층 일부",37.56520628622,127.080737306091
서울,436,중곡보건복지행정타운점,"서울특별시 광진구 능동로 400, 1층 130호(중곡동, 보건복지행정타운)",37.5650580830652,127.08445683899
서울,67,동대문점,"서울특별시 중구 장충단로13길 43, 1층 24-1호(을지로6가)",37.5680943778524,127.006460574612
서울,889,성동구청점,"고산자로 284, 성동샤르망오피스텔 1층 119호",37.5649128994423,127.036797652702
서울,473,신당역점,"서울특별시 중구 퇴계로87길 1, 1층(황학동)",37.5657973871933,127.021071493338
서울,744,종로YBM점,"서울 종로구 종로 104, 종로YBM본관 1층",37.5699634381006,126.989111515848
서울,442,내수동점,"서울특별시 종로구 새문안로3길 23, 107호(내수동, 경희궁의 아침 4단지)",37.5726308227784,126.972440824541
서울,899,응암대림시장점,"응암로 183, 1층",37.5884286356527,126.916593627583
서울,439,종로르메이에르점,"서울특별시 종로구 종로 19, 1층 121-2호(종로1가, 르메이에르종로타운1)",37.5708444878121,126.979923668151
서울,382,광화문역점,"서울특별시 종로구 새문안로5길 14, 1층(당주동)",37.571447204786,126.974953567372
서울,171,관철동점,"서울특별시 종로구 삼일대로 383, 1층(관철동)",37.5689039657212,126.987383994398
서울,860,신당무학점,"다산로39길 4, 유니크하임 1층 101호",37.5643204915278,127.01576273059
서울,614,장안동점,"서울특별시 동대문구 천호대로 427-4, 1층 일부(장안동)",37.5618398833013,127.066763608282
서울,153,을지트윈타워점,"서울특별시 중구 을지로 170, 2층 203호(을지로4가)",37.5661391831606,126.99732748195
서울,476,장한평점,서울특별시 성동구 천호대로 400(용답동),37.5612964964549,127.063321479459
서울,208,광화문오피시아점,"서울특별시 종로구 새문안로 92, 지하B201호, 지하B022호(신문로1가, 광화문오피시아빌딩)",37.5696996246023,126.974907969051
서울,515,장교빌딩점,"서울특별시 중구 삼일대로 363, 2동 1층 1호(장교동, 장교빌딩)",37.5671565387212,126.987052299704
서울,69,청계다동점,"서울특별시 중구 다동길 43, 1층 118,119,120호(다동, 한외빌딩)",37.5682179109709,126.981614792564
서울,861,광희빌딩점,"퇴계로 307, 광희빌딩 1층 로비",37.5643034749831,127.005728381666
서울,916,퇴계로제일제당점,마른내로 136-3 1층 1층 일부,37.564366998867,127.003267817577
서울,91,을지로입구점,서울특별시 중구 남대문로10길 15 1층,37.5673006257964,126.983574359221
서울,451,삼풍을지로점,"서울특별시 중구 을지로20길 26, 1층(인현동1가)",37.5652417291623,126.995335288953
서울,728,서대문구청점,"서울특별시 서대문구 연희로 239, 1층 일부",37.578527231433,126.935698717901
서울,110,무교점,"서울특별시 중구 남대문로9길 24, 1층 107호(다동, 패스트파이브타워)",37.5671412350836,126.98113275014
서울,764,한양대병원점,"서울 성동구 사근동길 4, 대학약국빌딩 1층",37.5599174430202,127.041596183039
서울,312,경희궁자이점,"서울특별시 종로구 경교장길 35, 상가동 1층 3134호(평동, 경희궁자이 3단지)",37.5688537151032,126.965114852628
서울,548,명지대점,"서울특별시 서대문구 거북골로 34, MCC동 코이노이아홀 지하2층(남가좌동, 명지대학교)",37.5803770223812,126.921348530876
서울,232,정동점,"서울특별시 중구 정동길 6, 1층(정동)",37.5677923010394,126.969522705678
서울,838,독립문영천시장점,"통일로 173-1, 1층 일부",37.5691541343281,126.96312940139
서울,492,명동점,"서울특별시 중구 명동9길 13, 1층(명동1가)",37.5644068781235,126.984779529696
서울,144,충무로점,서울특별시 중구 수표로 22 아세아빌딩 1층(충무로3가),37.5631316651901,126.9904880473
서울,1033,한양대학생복지관점,"왕십리로 222, 한양대학교 학생회관 1층 일부",37.5545036393023,127.046611216845
서울,506,소공동점,"서울특별시 중구 남대문로7길 13(소공동, 지상1층)",37.5637970037608,126.981107108041
서울,46,동국대점,"서울특별시 중구 서애로1길 18-1, 1,2,3층(필동3가)",37.560831799902,126.99902550726
서울,119,시청점,"서울특별시 중구 세종대로 91, 1층(태평로2가)",37.5645596033775,126.976563357262
서울,729,서대문충정빌딩점,"서울 서대문구 통일로 135, 충정빌딩 1층",37.5664280652901,126.965458383486
서울,66,충무로역점,"서울특별시 중구 퇴계로 192, 1층 103호(필동1가, 거봉빌딩)",37.5607728589646,126.993128416831
서울,423,서소문점,"서울특별시 중구 서소문로11길 14, 1층(서소문동)",37.5635243309614,126.973055494737
서울,771,필동점,"서울 중구 필동로 25, 1층",37.5593304171107,126.996376000997
서울,726,강동U1센터점,"서울 강동구 고덕비즈밸리로 26, 강동U1센터 1층 B-120호",37.5652057425559,127.160472742415
서울,108,덕수궁롯데캐슬점,"서울특별시 중구 서소문로9길 28, 지1층 B101호(순화동, 덕수궁롯데캐슬)",37.5637084894676,126.970042986983
서울,999,명동역3번출구점,"퇴계로18길 8, 1층",37.5604349136745,126.985404643572
서울,217,북창동점,"서울특별시 중구 남대문로1길 14, 1층(북창동)",37.561636794933,126.977615966668
서울,107,서대문역점,"서울특별시 서대문구 충정로6길 59, 1층 A-5호(미근동, 서소문아파트)",37.5627833731124,126.968082097248
서울,53,남산점,서울특별시 중구 소공로 46 B01호(1층),37.5594079371846,126.983218671611
서울,488,퍼시픽타워점,"서울특별시 중구 세종대로9길 41, 1층(서소문동, 올리브타워)",37.5613582316301,126.97299628821
서울,392,아차산역점,"서울특별시 광진구 천호대로129길 7, 1층 (오른쪽 부분)(중곡동)",37.5526086759589,127.090029490891
서울,380,강일점,"서울특별시 강동구 아리수로93길 33-9, 1층 106호(강일동, 강일프라자)",37.5657252144412,127.173190729553
서울,349,회현역점,"서울특별시 중구 퇴계로10길 16-1, 1층(회현동1가)",37.5586529132362,126.980372182714
서울,545,중림한국경제점,"서울특별시 중구 청파로 461, 1층(중림동)",37.560426087132,126.967719792217
서울,179,충정로점,"서울특별시 서대문구 경기대로 26-22, 1층(충정로3가)",37.5615351733222,126.962689707047
서울,405,세종대로점,"서울특별시 중구 세종대로 23, 1층(남대문로5가, 창화빌딩)",37.5590909738298,126.973844589811
서울,859,충정로역센트럴타워점,"서소문로 38, 센트럴타워 1층 104호, 105호, 106호",37.5604044928778,126.966215628015
서울,180,서울역이프라자점,"서울특별시 중구 세종대로4길 25, B1층 2호(남대문로5가)",37.557803046978,126.975326073153
서울,458,고덕래미안점,"서울특별시 강동구 아리수로50길 50, 1층 147,148호(고덕동, 래미안힐스테이트고덕)",37.5576864625383,127.148577708994
서울,639,서울숲A1점,"서울특별시 성동구 성수일로 11길 11, 1층(성수동1가)",37.5492298757544,127.050227707809
서울,897,강동롯데캐슬점,"고덕로 133, 롯데캐슬상가 1층 151호",37.5552528493133,127.140347239304
서울,976,연대동문점,"연대동문길 27-6, 1층",37.5640545037931,126.943729733944
서울,733,세종대점,"서울 광진구 광나루로 385, 1층 3호",37.5480830349992,127.072659761514
서울,1006,중림동점,"중림로 45, 1층",37.5575144716468,126.968223891378
서울,147,성수낙낙점,"서울특별시 성동구 아차산로17길 48, B동 1층 R104호(성수동2가)",37.5463937599992,127.065889477465
서울,55,성수우림점,"서울특별시 성동구 광나루로6길 35, 1층 110호(성수동2가, 성수동우림 이비즈센터)",37.5467997268051,127.063296654148
서울,182,뚝섬역점,"서울특별시 성동구 아차산로 49, 1층 102-2호(성수동1가, 서울숲 코오롱디지털타워 III)",37.5467876194278,127.050037317792
서울,114,상암사보이시티점,"서울특별시 마포구 월드컵북로54길 17, 1층 104호(상암동, 사보이시티디엠씨)",37.581324224744,126.888548408154
서울,896,연세대학교 치과대학병원점,"연세로 50-1, 연세대학교 치과대학병원 로비층",37.563674036531,126.941917689273
서울,907,암사역점,"올림픽로 782, 501타워 1층 103호",37.5508657313861,127.128126213246
서울,674,뚝섬역5번출구점,"서울시 성동구 상원길 24, 1층 102호",37.5461668836334,127.049053322107
서울,169,상암IT타워점,"서울특별시 마포구 월드컵북로 434, 1층 117호(상암동, 상암 IT Tower)",37.5816223202625,126.886049581236
서울,652,남산트라팰리스점,"서울특별시 중구 소월로2길 30, 1층 109호(남대문로5가, 남산트라팰리스)",37.5539946799726,126.975612746457
서울,262,상암중앙점,"서울특별시 마포구 월드컵북로 402, 1층 142호(상암동, 케이지아이티센터)",37.580189157859,126.888935582716
서울,470,상일동역점,"서울특별시 강동구 고덕로 385, 1층 113호(고덕동, 고덕그라시움(제4상가))",37.5573671931016,127.168412440283
서울,128,상암DMC점,"서울특별시 마포구 성암로13길 37, 1,2,3층(상암동)",37.5765058411281,126.897335443443
서울,680,서울숲아이코닉점,"서울시 성동구 서울숲2길 32-14, 1층 103호",37.5456773286722,127.042914714267
서울,773,연대서문점,"서울 서대문구 연희로10길 82, 지하1층",37.5637454965228,126.933566325834
서울,701,서울역서부점,"서울 용산구 청파로 395, 창성빌딩 1층",37.554867209569,126.968744137602
서울,174,고덕역점,"서울특별시 강동구 고덕로 262, 1층 119호(명일동, 고덕역 효성해링턴 타워 더퍼스트)",37.5546676606413,127.154622234195
서울,917,건대후문점,"화양동495-26, 1층 일부",37.5452966502999,127.07644298382
서울,484,서울역점,"서울특별시 용산구 후암로 101, 1층(동자동)",37.5534034378215,126.974303672318
서울,603,성수엠타워점,"서울특별시 성동구 뚝섬로1길 31,1층 103호(성수동1가, 서울숲 M타워)",37.5440906795504,127.046458422099
서울,820,상암이안점,"월드컵북로 361, 2단지 108호 일부",,
서울,81,이대점,"서울특별시 서대문구 이화여대8길 2, 1동 제1층 101호(대현동, 무궁화상가아파트)",37.5586536023804,126.945920737962
서울,590,성수성원점,"서울특별시 성동구 아차산로15길 10, 116호(성수동2가, 성원상떼뷰 오피스텔)",37.5436962428787,127.062606836404
서울,762,광나루역점,"서울 광진구 천호대로 808, 광장12차현대홈타운 1202동 지하1층 105호",37.545073523534,127.102739572749
